date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name,trap_team
7/24/2024,Berthoud,Berthoud Park,BE,Culex tarsalis,63,CDC Light Trap,LC-001 ,
7/24/2024,Berthoud,Berthoud Park,BE,Culex pipiens,11,CDC Light Trap,LC-001 ,
7/24/2024,Berthoud,Berthoud North,BE,Culex tarsalis,98,CDC Light Trap,LC-049 ,
7/24/2024,Berthoud,Berthoud West,BE,Culex pipiens,2,CDC Light Trap,LC-053 ,
7/24/2024,Berthoud,Berthoud West,BE,Culex tarsalis,16,CDC Light Trap,LC-053 ,
7/24/2024,Berthoud,Berthoud Point,BE,Culex tarsalis,57,CDC Light Trap,LC-054 ,
7/24/2024,Berthoud,Berthoud East,BE,Culex tarsalis,1,CDC Light Trap,WC-055,
7/22/2024,Fort Collins,N. Linden,NE,Culex pipiens,1,CDC Light Trap,FC-006,
7/22/2024,Fort Collins,N. Linden,NE,Culex tarsalis,2,CDC Light Trap,FC-006,
7/22/2024,Fort Collins,FC Visitor Center,NE,Culex tarsalis,4,CDC Light Trap,FC-014,
7/22/2024,Fort Collins,Edora Park,NE,Culex tarsalis,6,CDC Light Trap,FC-019,
7/22/2024,Fort Collins,Edora Park,NE,Culex pipiens,5,CDC Light Trap,FC-019,
7/22/2024,Fort Collins,Country Club,NE,Culex tarsalis,3,CDC Light Trap,FC-034,
7/22/2024,Fort Collins,Hemlock,NW,Culex tarsalis,8,CDC Light Trap,FC-036 ,
7/22/2024,Fort Collins,Hemlock,NW,Culex pipiens,23,CDC Light Trap,FC-036 ,
7/22/2024,Fort Collins,Lochside Lane,NE,Culex pipiens,3,CDC Light Trap,FC-038,
7/22/2024,Fort Collins,Lochside Lane,NE,Culex tarsalis,12,CDC Light Trap,FC-038,
7/22/2024,Fort Collins,Redwood,NE,Culex tarsalis,14,CDC Light Trap,FC-040,
7/22/2024,Fort Collins,Redwood,NE,Culex pipiens,8,CDC Light Trap,FC-040,
7/22/2024,Fort Collins,Redwood Gravid,NE,Culex pipiens,48,Gravid Trap,FC-040gr,
7/22/2024,Fort Collins,Redwood Gravid,NE,Culex tarsalis,1,Gravid Trap,FC-040gr,
7/22/2024,Fort Collins,Prospect Ponds,NE,Culex tarsalis,14,CDC Light Trap,FC-066,
7/22/2024,Fort Collins,Prospect Ponds,NE,Culex pipiens,7,CDC Light Trap,FC-066,
7/22/2024,Fort Collins,Prospect Ponds Gravid,NE,Culex tarsalis,1,Gravid Trap,FC-066gr,
7/22/2024,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,8,Gravid Trap,FC-066gr,
7/22/2024,Fort Collins,Poudre River Trail,NE,Culex pipiens,2,CDC Light Trap,FC-067,
7/22/2024,Fort Collins,Poudre River Trail,NE,Culex tarsalis,3,CDC Light Trap,FC-067,
7/22/2024,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,4,CDC Light Trap,FC-069,
7/22/2024,Fort Collins,422 Lake Dr,NE,Culex tarsalis,10,CDC Light Trap,FC-072,
7/22/2024,Fort Collins,422 Lake Dr,NE,Culex pipiens,23,CDC Light Trap,FC-072,
7/22/2024,Fort Collins,PVH Gravid,NE,Culex pipiens,9,Gravid Trap,FC-091gr,
7/22/2024,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,20,Gravid Trap,FC-092gr,
7/23/2024,Fort Collins,Big Horn,SE,Culex tarsalis,44,CDC Light Trap,FC-004,
7/23/2024,Fort Collins,Big Horn,SE,Culex pipiens,33,CDC Light Trap,FC-004,
7/23/2024,Fort Collins,Boltz,SE,Culex tarsalis,7,CDC Light Trap,FC-023,
7/23/2024,Fort Collins,Boltz,SE,Culex pipiens,15,CDC Light Trap,FC-023,
7/23/2024,Fort Collins,3001 San Luis,SE,Culex pipiens,26,CDC Light Trap,FC-027,
7/23/2024,Fort Collins,3001 San Luis,SE,Culex tarsalis,5,CDC Light Trap,FC-027,
7/23/2024,Fort Collins,Willow Springs,SE,Culex pipiens,8,CDC Light Trap,FC-031,
7/23/2024,Fort Collins,Willow Springs,SE,Culex tarsalis,45,CDC Light Trap,FC-031,
