date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name,
9/4/2024,Fort Collins,Golden Current,NW,Culex pipiens,2,CDC Light Trap,FC-011,
9/4/2024,Fort Collins,FC Visitor Center,NE,Culex pipiens,7,CDC Light Trap,FC-014,
9/4/2024,Fort Collins,FC Visitor Center,NE,Culex tarsalis,4,CDC Light Trap,FC-014,
9/4/2024,Fort Collins,Stuart and Dorset,NW,Culex pipiens,4,CDC Light Trap,FC-015,
9/4/2024,Fort Collins,Edora Park,NE,Culex tarsalis,2,CDC Light Trap,FC-019,
9/4/2024,Fort Collins,Edora Park,NE,Culex pipiens,9,CDC Light Trap,FC-019,
9/4/2024,Fort Collins,Country Club,NE,Culex tarsalis,2,CDC Light Trap,FC-034,
9/4/2024,Fort Collins,Hemlock,NW,Culex tarsalis,4,CDC Light Trap,FC-036 ,
9/4/2024,Fort Collins,Hemlock,NW,Culex pipiens,6,CDC Light Trap,FC-036 ,
9/4/2024,Fort Collins,Lochside Lane,NE,Culex tarsalis,3,CDC Light Trap,FC-038,
9/4/2024,Fort Collins,Redwood,NE,Culex tarsalis,3,CDC Light Trap,FC-040,
9/4/2024,Fort Collins,Redwood,NE,Culex pipiens,11,CDC Light Trap,FC-040,
9/4/2024,Fort Collins,Redwood Gravid,NE,Culex pipiens,83,Gravid Trap,FC-040gr,
9/4/2024,Fort Collins,Fishback,NW,Culex pipiens,2,CDC Light Trap,FC-041,
9/4/2024,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,1,CDC Light Trap,FC-049,
9/4/2024,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,5,CDC Light Trap,FC-049,
9/4/2024,Fort Collins,603 Gilgalad Way, NW,Culex tarsalis,1,CDC Light Trap,FC-052,
9/4/2024,Fort Collins,603 Gilgalad Way, NW,Culex pipiens,1,CDC Light Trap,FC-052,
9/4/2024,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex pipiens,2,CDC Light Trap,FC-058,
9/4/2024,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,2,CDC Light Trap,FC-058,
9/4/2024,Fort Collins,808 Ponderosa,NW,Culex pipiens,6,CDC Light Trap,FC-060,
