date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
5/31/2022,Fort Collins,603 Gilgalad Way,FC NW,Aedes vexans,1,CDC Light Trap,FC-052
5/31/2022,Fort Collins,Golden Current,FC NW,No Mosquitoes,0,CDC Light Trap,FC-011
5/31/2022,Fort Collins,118 S Grant ,FC NW,No Mosquitoes,0,CDC Light Trap,FC-073
5/31/2022,Fort Collins,808 Ponderosa,FC NW,No Mosquitoes,0,CDC Light Trap,FC-060
5/31/2022,Fort Collins,Spring Creek Trail-- Michener Dr,FC SW,No Mosquitoes,0,CDC Light Trap,FC-058
5/31/2022,Fort Collins,Fishback,FC NW,No Mosquitoes,0,CDC Light Trap,FC-041
5/31/2022,Fort Collins,Stuart and Dorset,FC NW,No Mosquitoes,0,CDC Light Trap,FC-015
5/31/2022,Fort Collins,Mountain Grandview Cemetery Gravid,FC NW,No Mosquitoes,0,Gravid Trap,FC-090gr
5/31/2022,Fort Collins,Casa Grande and Downing,FC SW,No Mosquitoes,0,CDC Light Trap,FC-049
5/31/2022,Fort Collins,Red Fox Meadows,FC NW,Aedes increpitus,1,CDC Light Trap,FC-063
5/31/2022,Fort Collins,Red Fox Meadows,FC NW,Aedes vexans,130,CDC Light Trap,FC-063
5/31/2022,Fort Collins,Holley Plant Research Center,FC NW,Aedes vexans,2,CDC Light Trap,FC-061
5/31/2022,Fort Collins,603 Gilgalad Way,FC NW,Aedes increpitus,2,CDC Light Trap,FC-052
6/1/2022,Fort Collins,Red Fox Meadows Gravid,FC NW,No Mosquitoes,0,Gravid Trap,FC-063gr
6/1/2022,Fort Collins,Red Fox Meadows Gravid,FC NW,No Mosquitoes,0,Gravid Trap,FC-063gr
6/2/2022,Fort Collins,Ben's Park Gravid,FC SE,No Mosquitoes,0,Gravid Trap,FC-029gr
6/2/2022,Fort Collins,737 Parliament,FC SE,Aedes vexans,1,CDC Light Trap,FC-054
6/2/2022,Fort Collins,Water's Edge at Blue Mesa,FC SW,Aedes dorsalis,1,CDC Light Trap,FC-062
6/2/2022,Fort Collins,Lopez Elementary,FC SW,Aedes vexans,3,CDC Light Trap,FC-093
6/2/2022,Fort Collins,Lopez Elementary,FC SW,Aedes dorsalis,2,CDC Light Trap,FC-093
6/2/2022,Fort Collins,5029 Crest Dr,FC SW,No Mosquitoes,0,CDC Light Trap,FC-068
6/2/2022,Fort Collins,Ben's Park,FC SE,Aedes dorsalis,5,CDC Light Trap,FC-029
6/2/2022,Fort Collins,Magic Carpet,FC SW,Aedes dorsalis,1,CDC Light Trap,FC-001
6/2/2022,Fort Collins,Registry Ridge,FC SW,No Mosquitoes,0,CDC Light Trap,FC-057
6/2/2022,Fort Collins,Silvergate Rd,FC SW,Aedes dorsalis,1,CDC Light Trap,FC-071
6/2/2022,Fort Collins,737 Parliament,FC SE,No Mosquitoes,0,CDC Light Trap,FC-054
6/2/2022,Fort Collins,Chelsea Ridge,FC SW,Aedes dorsalis,3,CDC Light Trap,FC-037
6/2/2022,Fort Collins,Chelsea Ridge,FC SW,Aedes vexans,1,CDC Light Trap,FC-037
6/2/2022,Fort Collins,Kunz Ct. and Brook Dr. Gravid,FC SW,No Mosquitoes,0,Gravid Trap,FC-089gr
6/5/2022,Fort Collins,Udall Natural Gravid,FC NE,No Mosquitoes,0,Gravid Trap,FC-092gr
6/5/2022,Fort Collins,Prospect Ponds Gravid,FC NE,Culex pipiens,1,Gravid Trap,FC-066gr
6/5/2022,Fort Collins,Hemlock,FC NW,Aedes vexans,2,CDC Light Trap,FC-036 
6/5/2022,Fort Collins,Edora Park,FC NE,Culex tarsalis,5,CDC Light Trap,FC-019
6/5/2022,Fort Collins,N. Linden,FC NE,Culiseta inornata,2,CDC Light Trap,FC-006
6/5/2022,Fort Collins,Edora Park,FC NE,Aedes vexans,12,CDC Light Trap,FC-019
6/5/2022,Fort Collins,422 Lake Dr,FC NE,Culex tarsalis,20,CDC Light Trap,FC-072
6/5/2022,Fort Collins,Prospect Ponds Gravid,FC NE,Aedes increpitus,1,Gravid Trap,FC-066gr
6/5/2022,Fort Collins,Prospect Ponds Gravid,FC NE,Culex tarsalis,1,Gravid Trap,FC-066gr
6/5/2022,Fort Collins,Lochside Lane,FC NE,Culex tarsalis,1,CDC Light Trap,FC-038
6/5/2022,Fort Collins,Lochside Lane,FC NE,Aedes increpitus,5,CDC Light Trap,FC-038
