date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/3/2024,Berthoud,Berthoud Park,BE,Culex tarsalis,42,CDC Light Trap,LC-001 
7/3/2024,Berthoud,Berthoud Park,BE,Culex pipiens,14,CDC Light Trap,LC-001 
7/3/2024,Berthoud,Berthoud North,BE,Culex pipiens,1,CDC Light Trap,LC-049 
7/3/2024,Berthoud,Berthoud North,BE,Culex tarsalis,6,CDC Light Trap,LC-049 
7/3/2024,Berthoud,Berthoud West,BE,Culex tarsalis,55,CDC Light Trap,LC-053 
7/3/2024,Berthoud,Berthoud Point,BE,Culex tarsalis,44,CDC Light Trap,LC-054 
7/3/2024,Berthoud,Berthoud Point,BE,Culex pipiens,1,CDC Light Trap,LC-054 
7/3/2024,Berthoud,Berthoud East,BE,Culex tarsalis,2,CDC Light Trap,WC-055
7/1/2024,Fort Collins,N. Linden,NE,Culex pipiens,1,CDC Light Trap,FC-006
7/1/2024,Fort Collins,FC Visitor Center,NE,Culex tarsalis,11,CDC Light Trap,FC-014
7/1/2024,Fort Collins,Edora Park,NE,Culex tarsalis,5,CDC Light Trap,FC-019
7/1/2024,Fort Collins,Edora Park,NE,Culex pipiens,5,CDC Light Trap,FC-019
7/1/2024,Fort Collins,Country Club,NE,Culex tarsalis,23,CDC Light Trap,FC-034
7/1/2024,Fort Collins,Hemlock,NW,Culex pipiens,15,CDC Light Trap,FC-036 
7/1/2024,Fort Collins,Hemlock,NW,Culex tarsalis,18,CDC Light Trap,FC-036 
7/1/2024,Fort Collins,Lochside Lane,NE,Culex tarsalis,31,CDC Light Trap,FC-038
7/1/2024,Fort Collins,Redwood,NE,Culex tarsalis,15,CDC Light Trap,FC-040
7/1/2024,Fort Collins,Redwood,NE,Culex pipiens,3,CDC Light Trap,FC-040
7/1/2024,Fort Collins,Redwood Gravid,NE,Culex pipiens,158,Gravid Trap,FC-040gr
7/1/2024,Fort Collins,Prospect Ponds,NE,Culex pipiens,12,CDC Light Trap,FC-066
7/1/2024,Fort Collins,Prospect Ponds,NE,Culex tarsalis,47,CDC Light Trap,FC-066
7/1/2024,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,9,Gravid Trap,FC-066gr
7/1/2024,Fort Collins,Poudre River Trail,NE,Culex tarsalis,1,CDC Light Trap,FC-067
7/1/2024,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,17,CDC Light Trap,FC-069
7/1/2024,Fort Collins,Linden Lake Rd,NE,Culex pipiens,1,CDC Light Trap,FC-069
7/1/2024,Fort Collins,422 Lake Dr,NE,Culex pipiens,14,CDC Light Trap,FC-072
7/1/2024,Fort Collins,422 Lake Dr,NE,Culex tarsalis,17,CDC Light Trap,FC-072
7/1/2024,Fort Collins,PVH Gravid,NE,Culex pipiens,17,Gravid Trap,FC-091gr
7/1/2024,Fort Collins,PVH Gravid,NE,Culex tarsalis,1,Gravid Trap,FC-091gr
7/1/2024,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,7,Gravid Trap,FC-092gr
7/2/2024,Fort Collins,Big Horn,SE,Culex tarsalis,14,CDC Light Trap,FC-004
7/2/2024,Fort Collins,Big Horn,SE,Culex pipiens,3,CDC Light Trap,FC-004
7/2/2024,Fort Collins,Golden Current,NW,Culex tarsalis,2,CDC Light Trap,FC-011
7/2/2024,Fort Collins,Golden Current,NW,Culex pipiens,4,CDC Light Trap,FC-011
7/2/2024,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,1,CDC Light Trap,FC-015
7/2/2024,Fort Collins,Stuart and Dorset,NW,Culex pipiens,1,CDC Light Trap,FC-015
7/2/2024,Fort Collins,Boltz,SE,Culex pipiens,3,CDC Light Trap,FC-023
7/2/2024,Fort Collins,Boltz,SE,Culex tarsalis,5,CDC Light Trap,FC-023
7/2/2024,Fort Collins,3001 San Luis,SE,Culex tarsalis,12,CDC Light Trap,FC-027
7/2/2024,Fort Collins,3001 San Luis,SE,Culex pipiens,1,CDC Light Trap,FC-027
7/2/2024,Fort Collins,Willow Springs,SE,Culex pipiens,4,CDC Light Trap,FC-031
7/2/2024,Fort Collins,Willow Springs,SE,Culex tarsalis,11,CDC Light Trap,FC-031
7/2/2024,Fort Collins,Fossil Creek South,SE,Culex tarsalis,30,CDC Light Trap,FC-039
7/2/2024,Fort Collins,Fishback,NW,Culex tarsalis,1,CDC Light Trap,FC-041
7/2/2024,Fort Collins,Fishback,NW,Culex pipiens,1,CDC Light Trap,FC-041
7/2/2024,Fort Collins,Westshore Ct,SE,Culex tarsalis,5,CDC Light Trap,FC-046
7/2/2024,Fort Collins,Westshore Ct,SE,Culex pipiens,1,CDC Light Trap,FC-046
7/2/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,6,CDC Light Trap,FC-047
7/2/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,1,CDC Light Trap,FC-047
7/2/2024,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,2,CDC Light Trap,FC-049
7/2/2024,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,3,CDC Light Trap,FC-050
7/2/2024,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,1,CDC Light Trap,FC-052
7/2/2024,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,1,CDC Light Trap,FC-052
7/2/2024,Fort Collins,Egret and Rookery,SE,Culex tarsalis,11,CDC Light Trap,FC-053
7/2/2024,Fort Collins,808 Ponderosa,NW,Culex tarsalis,1,CDC Light Trap,FC-060
7/2/2024,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,7,CDC Light Trap,FC-061
7/2/2024,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,5,CDC Light Trap,FC-061
7/2/2024,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,6,Gravid Trap,FC-063gr
7/2/2024,Fort Collins,West Chase,SE,Culex pipiens,3,CDC Light Trap,FC-064
7/2/2024,Fort Collins,West Chase,SE,Culex tarsalis,15,CDC Light Trap,FC-064
7/2/2024,Fort Collins,118 S Grant ,NW,Culex pipiens,3,CDC Light Trap,FC-073
7/2/2024,Fort Collins,Rock Creek,SE,Culex tarsalis,4,CDC Light Trap,FC-074
7/2/2024,Fort Collins,Sage Creek North,SE,Culex tarsalis,2,CDC Light Trap,FC-075
7/2/2024,Fort Collins,Sage Creek North,SE,Culex pipiens,3,CDC Light Trap,FC-075
7/2/2024,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,13,Gravid Trap,FC-075gr
7/2/2024,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,64,Gravid Trap,FC-088gr
7/2/2024,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,20,Gravid Trap,FC-090gr
7/3/2024,Fort Collins,Ben's Park,SE,Culex tarsalis,4,CDC Light Trap,FC-029
7/3/2024,Fort Collins,Ben's Park,SE,Culex pipiens,2,CDC Light Trap,FC-029
7/3/2024,Fort Collins,Ben's Park Gravid,SE,Trap Malfunction,0,Gravid Trap,FC-029gr
7/3/2024,Fort Collins,Chelsea Ridge,SW,Culex pipiens,1,CDC Light Trap,FC-037
7/3/2024,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,5,CDC Light Trap,FC-037
7/3/2024,Fort Collins,737 Parliament,SE,Culex tarsalis,5,CDC Light Trap,FC-054
7/3/2024,Fort Collins,Registry Ridge,SW,Culex tarsalis,3,CDC Light Trap,FC-057
7/3/2024,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,4,CDC Light Trap,FC-062
7/3/2024,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,1,CDC Light Trap,FC-068
7/3/2024,Fort Collins,Silvergate Rd,SW,Culex pipiens,1,CDC Light Trap,FC-071
7/3/2024,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,7,Gravid Trap,FC-089gr
7/3/2024,Fort Collins,Lopez Elementary,SW,Culex tarsalis,1,CDC Light Trap,FC-093
7/1/2024,Loveland,29th and Madison,LV,Culex tarsalis,7,CDC Light Trap,LV-004
7/1/2024,Loveland,Outlet Mall Apartments,LV,Culex tarsalis,4,CDC Light Trap,LV-066
7/1/2024,Loveland,Horseshoe Peninsula,LV,Culex tarsalis,1,CDC Light Trap,LV-069
7/1/2024,Loveland,7 Lakes Park,LV,Culex tarsalis,3,CDC Light Trap,LV-078
7/1/2024,Loveland,7 Lakes Gravid,LV,Culex pipiens,7,Gravid Trap,LV-079gr
7/1/2024,Loveland,7 Lakes Gravid,LV,Culex tarsalis,1,Gravid Trap,LV-079gr
7/1/2024,Loveland,Harding and Reagan,LV,Culex tarsalis,13,CDC Light Trap,LV-080
7/1/2024,Loveland,2229 Arikaree,LV,Culex tarsalis,32,CDC Light Trap,LV-088
7/1/2024,Loveland,2229 Arikaree,LV,Culex pipiens,2,CDC Light Trap,LV-088
7/1/2024,Loveland,Pond at Silver Lake,LV,Culex pipiens,2,CDC Light Trap,LV-093
7/1/2024,Loveland,Pond at Silver Lake,LV,Culex tarsalis,2,CDC Light Trap,LV-093
7/1/2024,Loveland,Boyd Lake,LV,Culex tarsalis,18,CDC Light Trap,LV-095
7/1/2024,Loveland,Sundisk and 13E,LV,Culex pipiens,4,CDC Light Trap,LV-116
7/1/2024,Loveland,Sundisk and 13E,LV,Culex tarsalis,1,CDC Light Trap,LV-116
7/1/2024,Loveland,Centerra,LV,Trap Malfunction,0,CDC Light Trap,LV-117
7/2/2024,Loveland,Jefferson and 11th,LV,Culex pipiens,2,CDC Light Trap,LV-074
7/2/2024,Loveland,Jefferson and 11th,LV,Culex tarsalis,9,CDC Light Trap,LV-074
7/2/2024,Loveland,Jefferson And 11th Gravid,LV,Culex pipiens,22,Gravid Trap,LV-074gr
7/2/2024,Loveland,1105 East 1st Street,LV,Culex tarsalis,2,CDC Light Trap,LV-077
7/2/2024,Loveland,9th and DesMoines,LV,Culex tarsalis,70,CDC Light Trap,LV-089
7/2/2024,Loveland,Cr 20 and 9,LV,Culex pipiens,4,CDC Light Trap,LV-104
7/2/2024,Loveland,Cr 20 and 9,LV,Culex tarsalis,34,CDC Light Trap,LV-104
7/2/2024,Loveland,Big Thompson ,LV,Culex pipiens,3,CDC Light Trap,LV-110
7/2/2024,Loveland,Big Thompson ,LV,Culex tarsalis,13,CDC Light Trap,LV-110
7/2/2024,Loveland,915 S Boise,LV,Culex pipiens,7,CDC Light Trap,LV-112
7/2/2024,Loveland,915 S Boise,LV,Culex tarsalis,69,CDC Light Trap,LV-112
7/2/2024,Loveland,Springs at Marianna,LV,Culex tarsalis,6,CDC Light Trap,LV-113
7/2/2024,Loveland,Golf Vista,LV,Culex pipiens,3,CDC Light Trap,LV-118
7/2/2024,Loveland,Golf Vista,LV,Culex tarsalis,7,CDC Light Trap,LV-118
7/2/2024,Loveland,Keysight Technologies,LV,Culex tarsalis,13,CDC Light Trap,LV-124
7/2/2024,Loveland,Keysight Technologies,LV,Culex pipiens,1,CDC Light Trap,LV-124
7/2/2024,Loveland,8th And No Name,LV,Culex pipiens,1,CDC Light Trap,LV-125
7/2/2024,Loveland,8th And No Name,LV,Culex tarsalis,4,CDC Light Trap,LV-125
7/3/2024,Loveland,Jocelyn and Eagle,LV,Culex tarsalis,6,CDC Light Trap,LV-019
7/3/2024,Loveland,Jocelyn and Eagle,LV,Culex pipiens,2,CDC Light Trap,LV-019
7/3/2024,Loveland,Cattail Pond,LV,Culex tarsalis,47,CDC Light Trap,LV-020
7/3/2024,Loveland,Linda and 26th ,LV,Culex tarsalis,17,CDC Light Trap,LV-021
7/3/2024,Loveland,Linda and 26th ,LV,Culex pipiens,4,CDC Light Trap,LV-021
7/3/2024,Loveland,2001 S Douglas,LV,Culex tarsalis,14,CDC Light Trap,LV-042
7/3/2024,Loveland,2001 S Douglas,LV,Culex pipiens,1,CDC Light Trap,LV-042
7/3/2024,Loveland,Del Norte Private Park,LV,Culex pipiens,3,CDC Light Trap,LV-067
7/3/2024,Loveland,Del Norte Private Park,LV,Culex tarsalis,7,CDC Light Trap,LV-067
7/3/2024,Loveland,Derby Hill,LV,Culex tarsalis,39,CDC Light Trap,LV-087
7/3/2024,Loveland,Derby Hill,LV,Culex pipiens,3,CDC Light Trap,LV-087
7/3/2024,Loveland,Jill Drive Pond,LV,Culex tarsalis,53,CDC Light Trap,LV-114
7/3/2024,Loveland,Jill Drive Pond,LV,Culex pipiens,1,CDC Light Trap,LV-114
7/3/2024,Loveland,End of City Limits North,LV,Culex tarsalis,36,CDC Light Trap,LV-120
7/3/2024,Loveland,End of City Limits North,LV,Culex pipiens,1,CDC Light Trap,LV-120
7/1/2024,Timnath,Timnath - 5th and Kern,TT,Culex tarsalis,4,CDC Light Trap,LC-010 
