date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/11/2024,Berthoud,Berthoud Park,BE ,Culex tarsalis,2,CDC Light Trap,LC-001 
6/11/2024,Berthoud,Berthoud Park,BE ,Culex pipiens,1,CDC Light Trap,LC-001 
6/11/2024,Berthoud,Berthoud West,BE ,Culex tarsalis,11,CDC Light Trap,LC-053 
6/11/2024,Berthoud,Berthoud Point,BE ,Culex tarsalis,13,CDC Light Trap,LC-054 
6/9/2024,Fort Collins,N. Linden,NE,Culex tarsalis,1,CDC Light Trap,FC-006
6/9/2024,Fort Collins,Edora Park,NE,Culex tarsalis,4,CDC Light Trap,FC-019
6/9/2024,Fort Collins,Country Club,NE,Culex tarsalis,1,CDC Light Trap,FC-034
6/9/2024,Fort Collins,Hemlock,NW,Culex tarsalis,2,CDC Light Trap,FC-036 
6/9/2024,Fort Collins,Lochside Lane,NE,Culex tarsalis,1,CDC Light Trap,FC-038
6/9/2024,Fort Collins,Redwood Gravid,NE,Culex pipiens,2,Gravid Trap,FC-040gr
6/9/2024,Fort Collins,Prospect Ponds,NE,Culex tarsalis,9,CDC Light Trap,FC-066
6/9/2024,Fort Collins,Prospect Ponds,NE,Culex pipiens,1,CDC Light Trap,FC-066
6/9/2024,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,2,CDC Light Trap,FC-069
6/9/2024,Fort Collins,PVH Gravid,NE,Culex pipiens,1,Gravid Trap,FC-091gr
6/9/2024,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,6,Gravid Trap,FC-092gr
6/10/2024,Fort Collins,Big Horn,SE,Culex tarsalis,2,CDC Light Trap,FC-004
6/10/2024,Fort Collins,Boltz,SE,Culex pipiens,1,CDC Light Trap,FC-023
6/10/2024,Fort Collins,Boltz,SE,Culex tarsalis,2,CDC Light Trap,FC-023
6/10/2024,Fort Collins,3001 San Luis,SE,Culex pipiens,3,CDC Light Trap,FC-027
6/10/2024,Fort Collins,3001 San Luis,SE,Culex tarsalis,10,CDC Light Trap,FC-027
6/10/2024,Fort Collins,Willow Springs,SE,Culex tarsalis,2,CDC Light Trap,FC-031
6/10/2024,Fort Collins,Fossil Creek South,SE,Culex tarsalis,3,CDC Light Trap,FC-039
6/10/2024,Fort Collins,Rock Creek,SE,Culex tarsalis,6,CDC Light Trap,FC-074
6/10/2024,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,6,Gravid Trap,FC-075gr
6/10/2024,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,20,Gravid Trap,FC-088gr
6/11/2024,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,2,CDC Light Trap,FC-049
6/11/2024,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,1,CDC Light Trap,FC-049
6/11/2024,Fort Collins,808 Ponderosa,NW,Culex pipiens,2,CDC Light Trap,FC-060
6/11/2024,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,2,CDC Light Trap,FC-061
6/11/2024,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,3,CDC Light Trap,FC-061
6/11/2024,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,16,Gravid Trap,FC-063gr
6/11/2024,Fort Collins,118 S Grant ,NW,Culex tarsalis,2,CDC Light Trap,FC-073
6/11/2024,Fort Collins,118 S Grant ,NW,Culex pipiens,3,CDC Light Trap,FC-073
6/11/2024,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,4,Gravid Trap,FC-090gr
6/12/2024,Fort Collins,Ben's Park,SE,Culex tarsalis,1,CDC Light Trap,FC-029
6/12/2024,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,37,Gravid Trap,FC-029gr
6/12/2024,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,3,CDC Light Trap,FC-037
6/12/2024,Fort Collins,737 Parliament,SE,Culex tarsalis,3,CDC Light Trap,FC-054
6/12/2024,Fort Collins,Registry Ridge,SW,Culex tarsalis,1,CDC Light Trap,FC-057
6/12/2024,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,1,CDC Light Trap,FC-062
6/12/2024,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,3,CDC Light Trap,FC-062
6/12/2024,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,12,Gravid Trap,FC-089gr
6/12/2024,Fort Collins,Lopez Elementary,SW,Culex tarsalis,2,CDC Light Trap,FC-093
6/9/2024,Loveland,29th and Madison,LV,Culex tarsalis,1,CDC Light Trap,LV-004
6/9/2024,Loveland,7 Lakes Gravid,LV,Culex tarsalis,1,Gravid Trap,LV-079gr
6/9/2024,Loveland,2229 Arikaree,LV,Culex tarsalis,2,CDC Light Trap,LV-088
6/9/2024,Loveland,Sundisk and 13E,LV,Culex pipiens,2,CDC Light Trap,LV-116
6/9/2024,Loveland,Centerra,LV,Culex pipiens,2,CDC Light Trap,LV-117
6/9/2024,Loveland,Centerra,LV,Culex tarsalis,1,CDC Light Trap,LV-117
6/10/2024,Loveland,Jefferson and 11th,LV,Culex tarsalis,2,CDC Light Trap,LV-074
6/10/2024,Loveland,Jefferson And 11th Gravid,LV,Culex pipiens,3,Gravid Trap,LV-074gr
6/10/2024,Loveland,9th and DesMoines,LV,Culex tarsalis,2,CDC Light Trap,LV-089
6/10/2024,Loveland,Cr 20 and 9,LV,Culex tarsalis,4,CDC Light Trap,LV-104
6/10/2024,Loveland,Big Thompson ,LV,Culex tarsalis,3,CDC Light Trap,LV-110
6/10/2024,Loveland,Big Thompson ,LV,Culex pipiens,1,CDC Light Trap,LV-110
6/10/2024,Loveland,915 S Boise,LV,Culex pipiens,1,CDC Light Trap,LV-112
6/10/2024,Loveland,915 S Boise,LV,Culex tarsalis,4,CDC Light Trap,LV-112
6/10/2024,Loveland,Golf Vista,LV,Culex tarsalis,1,CDC Light Trap,LV-118
6/10/2024,Loveland,Keysight Technologies,LV,Culex pipiens,1,CDC Light Trap,LV-124
6/11/2024,Loveland,Cattail Pond,LV,Culex tarsalis,22,CDC Light Trap,LV-020
6/11/2024,Loveland,Linda and 26th ,LV,Culex tarsalis,2,CDC Light Trap,LV-021
6/11/2024,Loveland,Derby Hill,LV,Culex tarsalis,5,CDC Light Trap,LV-087
6/11/2024,Loveland,Linda and 26th ,LV,Culex pipiens,1,CDC Light Trap,LV-021
6/11/2024,Loveland,2001 S Douglas,LV,Culex tarsalis,1,CDC Light Trap,LV-042
6/11/2024,Loveland,End of City Limits North,LV,Culex tarsalis,2,CDC Light Trap,LV-120
6/11/2024,Loveland,Del Norte Private Park,LV,Culex tarsalis,2,CDC Light Trap,LV-067
6/11/2024,Loveland,Jill Drive Pond,LV,Culex tarsalis,2,CDC Light Trap,LV-114
6/12/2024,Loveland,Fallgold,LV,Culex pipiens,3,CDC Light Trap,LV-122
6/12/2024,Loveland,Fallgold,LV,Culex tarsalis,2,CDC Light Trap,LV-122
6/12/2024,Loveland,Estrella Park,LV,Culex tarsalis,4,CDC Light Trap,LV-014
6/12/2024,Loveland,Glen Isle Ditch,LV,Culex tarsalis,1,CDC Light Trap,LV-102
6/12/2024,Loveland,Benson Sculpture Park,LV,Culex tarsalis,4,CDC Light Trap,LV-098
6/12/2024,Loveland,Bayfield and Windsor,LV,Culex tarsalis,1,CDC Light Trap,LV-121
6/12/2024,Loveland,Estrella Park,LV,Culex pipiens,2,CDC Light Trap,LV-014
6/12/2024,Loveland,Farasita at Rist Benson,LV,Culex tarsalis,1,CDC Light Trap,LV-097
6/12/2024,Loveland,Farasita at Rist Benson,LV,Culex pipiens,2,CDC Light Trap,LV-097
6/12/2024,Loveland,Glen Isle Ditch,LV,Culex pipiens,1,CDC Light Trap,LV-102
6/12/2024,Loveland,Hendler Gravid,LV,Culex pipiens,18,Gravid Trap,LV-010gr
6/9/2024,Timnath,Timnath - Wildwing,TT,Culex pipiens,1,CDC Light Trap,LC-050 
6/9/2024,Timnath,Timnath - Serratoga Falls,TT,Culex tarsalis,5,CDC Light Trap,LC-051 
6/9/2024,Timnath,Timnath - Serratoga Falls,TT,Culex pipiens,2,CDC Light Trap,LC-051 
6/9/2024,Timnath,Timnath - Trailside,TT,Culex tarsalis,4,CDC Light Trap,LC-057
