date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
9/9/2024,Fort Collins,FC Visitor Center,NE,Culex tarsalis,3,CDC Light Trap,FC-014
9/9/2024,Fort Collins,FC Visitor Center,NE,Culex pipiens,14,CDC Light Trap,FC-014
9/9/2024,Fort Collins,Edora Park,NE,Culex pipiens,3,CDC Light Trap,FC-019
9/9/2024,Fort Collins,Country Club,NE,Culex tarsalis,2,CDC Light Trap,FC-034
9/9/2024,Fort Collins,Hemlock,NW,Culex pipiens,8,CDC Light Trap,FC-036 
9/9/2024,Fort Collins,Lochside Lane,NE,Culex pipiens,2,CDC Light Trap,FC-038
9/9/2024,Fort Collins,Lochside Lane,NE,Culex tarsalis,3,CDC Light Trap,FC-038
9/9/2024,Fort Collins,Redwood,NE,Culex pipiens,11,CDC Light Trap,FC-040
9/9/2024,Fort Collins,Redwood,NE,Culex tarsalis,1,CDC Light Trap,FC-040
9/9/2024,Fort Collins,Redwood Gravid,NE,Culex pipiens,26,Gravid Trap,FC-040gr
9/9/2024,Fort Collins,Prospect Ponds,NE,Culex pipiens,73,CDC Light Trap,FC-066
9/9/2024,Fort Collins,Prospect Ponds,NE,Culex tarsalis,3,CDC Light Trap,FC-066
9/9/2024,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,3,Gravid Trap,FC-066gr
9/9/2024,Fort Collins,Poudre River Trail,NE,Culex tarsalis,6,CDC Light Trap,FC-067
9/9/2024,Fort Collins,Poudre River Trail,NE,Culex pipiens,3,CDC Light Trap,FC-067
9/9/2024,Fort Collins,Linden Lake Rd,NE,Culex pipiens,2,CDC Light Trap,FC-069
9/9/2024,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,1,CDC Light Trap,FC-069
9/9/2024,Fort Collins,422 Lake Dr,NE,Culex pipiens,3,CDC Light Trap,FC-072
9/9/2024,Fort Collins,422 Lake Dr,NE,Culex tarsalis,6,CDC Light Trap,FC-072
9/9/2024,Fort Collins,PVH Gravid,NE,Culex pipiens,3,Gravid Trap,FC-091gr
9/9/2024,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,14,Gravid Trap,FC-092gr
9/10/2024,Fort Collins,Big Horn,SE,Culex pipiens,1,CDC Light Trap,FC-004
9/10/2024,Fort Collins,Big Horn,SE,Culex tarsalis,4,CDC Light Trap,FC-004
9/10/2024,Fort Collins,Boltz,SE,Culex pipiens,1,CDC Light Trap,FC-023
9/10/2024,Fort Collins,3001 San Luis,SE,Culex tarsalis,3,CDC Light Trap,FC-027
9/10/2024,Fort Collins,3001 San Luis,SE,Culex pipiens,6,CDC Light Trap,FC-027
9/10/2024,Fort Collins,Willow Springs,SE,Culex tarsalis,5,CDC Light Trap,FC-031
9/10/2024,Fort Collins,Willow Springs,SE,Culex pipiens,3,CDC Light Trap,FC-031
9/10/2024,Fort Collins,Fossil Creek South,SE,Culex tarsalis,4,CDC Light Trap,FC-039
9/10/2024,Fort Collins,Westshore Ct,SE,Culex tarsalis,2,CDC Light Trap,FC-046
9/10/2024,Fort Collins,Keeneland And Twin Oak,SE,Trap Malfunction,0,CDC Light Trap,FC-047
9/10/2024,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,1,CDC Light Trap,FC-050
9/10/2024,Fort Collins,Egret and Rookery,SE,Culex tarsalis,3,CDC Light Trap,FC-053
9/10/2024,Fort Collins,Egret and Rookery,SE,Culex pipiens,6,CDC Light Trap,FC-053
9/10/2024,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,2,CDC Light Trap,FC-059
9/10/2024,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,2,CDC Light Trap,FC-059
9/10/2024,Fort Collins,West Chase,SE,Culex tarsalis,4,CDC Light Trap,FC-064
9/10/2024,Fort Collins,West Chase,SE,Culex pipiens,1,CDC Light Trap,FC-064
9/10/2024,Fort Collins,Rock Creek,SE,Trap Malfunction,0,CDC Light Trap,FC-074
9/10/2024,Fort Collins,Sage Creek North,SE,Culex tarsalis,2,CDC Light Trap,FC-075
9/10/2024,Fort Collins,Sage Creek North,SE,Culex pipiens,16,CDC Light Trap,FC-075
9/10/2024,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,8,Gravid Trap,FC-075gr
9/10/2024,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,49,Gravid Trap,FC-088gr
9/11/2024,Fort Collins,Golden Current,NW,Culex pipiens,5,CDC Light Trap,FC-011
9/11/2024,Fort Collins,Stuart and Dorset,NW,Culex pipiens,4,CDC Light Trap,FC-015
9/11/2024,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,2,CDC Light Trap,FC-015
9/11/2024,Fort Collins,Fishback,NW,Culex pipiens,6,CDC Light Trap,FC-041
9/11/2024,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,1,CDC Light Trap,FC-049
9/11/2024,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,4,CDC Light Trap,FC-049
9/11/2024,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,1,CDC Light Trap,FC-052
9/11/2024,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,3,CDC Light Trap,FC-052
9/11/2024,Fort Collins,808 Ponderosa,NW,Culex pipiens,1,CDC Light Trap,FC-060
9/11/2024,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,3,CDC Light Trap,FC-061
9/11/2024,Fort Collins,Red Fox Meadows,NW,Culex pipiens,1,CDC Light Trap,FC-063
9/11/2024,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,13,Gravid Trap,FC-063gr
9/11/2024,Fort Collins,118 S Grant ,NW,Culex tarsalis,1,CDC Light Trap,FC-073
9/11/2024,Fort Collins,118 S Grant ,NW,Culex pipiens,3,CDC Light Trap,FC-073
9/11/2024,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,31,Gravid Trap,FC-090gr
9/12/2024,Fort Collins,Magic Carpet,SW,Culex tarsalis,2,CDC Light Trap,FC-001
9/12/2024,Fort Collins,Ben's Park,SE,Culex tarsalis,1,CDC Light Trap,FC-029
9/12/2024,Fort Collins,Ben's Park,SE,Culex pipiens,3,CDC Light Trap,FC-029
9/12/2024,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,6,Gravid Trap,FC-029gr
9/12/2024,Fort Collins,Chelsea Ridge,SW,Culex pipiens,4,CDC Light Trap,FC-037
9/12/2024,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,2,CDC Light Trap,FC-037
9/12/2024,Fort Collins,5029 Crest Dr,SW,Culex pipiens,1,CDC Light Trap,FC-068
9/12/2024,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,1,CDC Light Trap,FC-068
9/12/2024,Fort Collins,Silvergate Rd,SW,No Mosquitoes,0,CDC Light Trap,FC-071
9/12/2024,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,10,Gravid Trap,FC-089gr
9/12/2024,Fort Collins,Lopez Elementary,SW,Culex tarsalis,1,CDC Light Trap,FC-093
