year,week,zone,spp,pools_L,pools_G,n_pools,pos_pools_L,pos_pools_G,n_pos_pools,mosq_L,mosq_G,mosq,trap_L,abund,pir,pir_lci,pir_uci,vi,vi_lci,vi_uci
2014,30,NW,Pipiens,9,2,11,0,0,0,64,67,131,9,7.11,0.0000,0.0000,0.0215,0,0,0.1529
2014,30,NW,Tarsalis,22,0,22,0,0,0,824,0,824,9,91.56,0.0000,0.0000,0.0042,0,0,0.3846
2014,30,NW,All,31,2,33,0,0,0,888,67,955,18,98.67,0.0000,0.0000,0.0054,0,0,0.5375
2014,30,NE,Pipiens,13,1,14,0,0,0,189,7,196,10,18.9,0.0000,0.0000,0.0157,0,0,0.2967
2014,30,NE,Tarsalis,48,1,49,0,0,0,2196,2,2198,10,219.6,0.0000,0.0000,0.0017,0,0,0.3733
2014,30,NE,All,61,2,63,0,0,0,2385,9,2394,20,238.5,0.0000,0.0000,0.0028,0,0,0.67
2014,30,SE,Pipiens,17,2,19,0,0,0,287,94,381,15,19.13,0.0000,0.0000,0.0086,0,0,0.1645
2014,30,SE,Tarsalis,70,1,71,3,0,3,3077,1,3078,15,205.13,0.0010,0.0003,0.0027,0.2051,0.0615,0.5539
2014,30,SE,All,87,3,90,3,0,3,3364,95,3459,30,224.26,0.0009,0.0003,0.0032,0.2051,0.0615,0.7184
2014,30,SW,Pipiens,6,2,8,0,0,0,24,101,125,9,2.67,0.0000,0.0000,0.0198,0,0,0.0529
2014,30,SW,Tarsalis,13,1,14,0,0,0,431,1,432,9,47.89,0.0000,0.0000,0.0075,0,0,0.3592
2014,30,SW,All,19,3,22,0,0,0,455,102,557,18,50.56,0.0000,0.0000,0.0082,0,0,0.4121
2014,30,FC,Pipiens,51,7,58,0,0,0,621,269,890,53,11.72,0.0000,0.0000,0.0040,0,0,0.0469
2014,30,FC,Tarsalis,183,3,186,5,0,5,7783,4,7787,53,146.85,0.0007,0.0002,0.0014,0.1028,0.0294,0.2056
2014,30,FC,All,234,10,244,5,0,5,8404,273,8677,106,158.57,0.0006,0.0002,0.0016,0.1028,0.0294,0.2525
2014,30,LV,Pipiens,6,0,6,0,0,0,57,0,57,10,5.7,0.0000,0.0000,0.0391,0,0,0.2229
2014,30,LV,Tarsalis,30,0,30,2,0,2,1255,0,1255,10,125.5,0.0016,0.0003,0.0054,0.2008,0.0376,0.6777
2014,30,LV,All,36,0,36,2,0,2,1312,0,1312,20,131.2,0.0015,0.0003,0.0069,0.2008,0.0376,0.9006
2015,24,NW,Pipiens,3,2,5,0,0,0,8,4,12,9,0.89,0.0000,0.0000,0.2069,0,0,0.1841
2015,24,NW,Tarsalis,6,0,6,0,0,0,19,0,19,9,2.11,0.0000,0.0000,0.1109,0,0,0.234
2015,24,NW,All,9,2,11,0,0,0,27,4,31,18,3,0.0000,0.0000,0.1394,0,0,0.4181
2015,24,NE,Pipiens,6,4,10,0,0,0,10,16,26,10,1,0.0000,0.0000,0.1132,0,0,0.1132
2015,24,NE,Tarsalis,8,0,8,0,0,0,121,0,121,10,12.1,0.0000,0.0000,0.0222,0,0,0.2686
2015,24,NE,All,14,4,18,0,0,0,131,16,147,20,13.1,0.0000,0.0000,0.0291,0,0,0.3818
2015,24,SE,Pipiens,4,5,9,0,0,0,5,113,118,15,0.33,0.0000,0.0000,0.0225,0,0,0.0074
2015,24,SE,Tarsalis,12,0,12,0,0,0,78,0,78,15,5.2,0.0000,0.0000,0.0368,0,0,0.1914
2015,24,SE,All,16,5,21,0,0,0,83,113,196,30,5.53,0.0000,0.0000,0.0359,0,0,0.1988
2015,24,SW,Pipiens,5,1,6,0,0,0,12,8,20,9,1.33,0.0000,0.0000,0.1233,0,0,0.164
2015,24,SW,Tarsalis,7,0,7,0,0,0,38,0,38,9,4.22,0.0000,0.0000,0.0731,0,0,0.3085
2015,24,SW,All,12,1,13,0,0,0,50,8,58,18,5.55,0.0000,0.0000,0.0851,0,0,0.4725
2015,24,FC,Pipiens,18,12,30,0,0,0,35,141,176,49,0.71,0.0000,0.0000,0.0178,0,0,0.0126
2015,24,FC,Tarsalis,39,0,39,0,0,0,324,0,324,49,6.61,0.0000,0.0000,0.0105,0,0,0.0694
2015,24,FC,All,57,12,69,0,0,0,359,141,500,98,7.32,0.0000,0.0000,0.0112,0,0,0.082
2015,24,LV,Tarsalis,6,0,6,0,0,0,68,0,68,6,11.33,0.0000,0.0000,0.0340,0,0,0.3852
2015,24,LV,All,6,0,6,0,0,0,68,0,68,6,11.33,0.0000,0.0000,0.0340,0,0,0.3852
2015,25,NW,Pipiens,4,2,6,0,0,0,8,15,23,9,0.89,0.0000,0.0000,0.0985,0,0,0.0877
2015,25,NW,Tarsalis,10,0,10,0,0,0,192,0,192,9,21.33,0.0000,0.0000,0.0154,0,0,0.3285
2015,25,NW,All,14,2,16,0,0,0,200,15,215,18,22.22,0.0000,0.0000,0.0187,0,0,0.4162
2015,25,NE,Pipiens,6,4,10,0,0,0,36,41,77,10,3.6,0.0000,0.0000,0.0381,0,0,0.1372
2015,25,NE,Tarsalis,17,1,18,0,0,0,577,1,578,10,57.7,0.0000,0.0000,0.0058,0,0,0.3347
2015,25,NE,All,23,5,28,0,0,0,613,42,655,20,61.3,0.0000,0.0000,0.0077,0,0,0.4719
2015,25,SE,Pipiens,6,4,10,0,0,0,16,84,100,15,1.07,0.0000,0.0000,0.0255,0,0,0.0273
2015,25,SE,Tarsalis,28,1,29,0,0,0,1039,1,1040,15,69.27,0.0000,0.0000,0.0034,0,0,0.2355
2015,25,SE,All,34,5,39,0,0,0,1055,85,1140,30,70.34,0.0000,0.0000,0.0037,0,0,0.2628
2015,25,SW,Pipiens,4,1,5,0,0,0,5,6,11,9,0.56,0.0000,0.0000,0.2016,0,0,0.1129
2015,25,SW,Tarsalis,9,0,9,0,0,0,157,0,157,9,17.44,0.0000,0.0000,0.0190,0,0,0.3314
2015,25,SW,All,13,1,14,0,0,0,162,6,168,18,18,0.0000,0.0000,0.0247,0,0,0.4443
2015,25,FC,Pipiens,20,11,31,0,0,0,65,146,211,49,1.33,0.0000,0.0000,0.0154,0,0,0.0205
2015,25,FC,Tarsalis,97,2,99,0,0,0,3447,2,3449,49,70.35,0.0000,0.0000,0.0011,0,0,0.0774
2015,25,FC,All,117,13,130,0,0,0,3512,148,3660,98,71.68,0.0000,0.0000,0.0014,0,0,0.0979
2015,25,LV,Tarsalis,33,0,33,0,0,0,1482,0,1482,6,247,0.0000,0.0000,0.0024,0,0,0.5928
2015,25,LV,All,33,0,33,0,0,0,1482,0,1482,6,247,0.0000,0.0000,0.0024,0,0,0.5928
2015,26,NW,Pipiens,6,2,8,0,0,0,25,24,49,9,2.78,0.0000,0.0000,0.0548,0,0,0.1523
2015,26,NW,Tarsalis,13,0,13,0,0,0,290,0,290,9,32.22,0.0000,0.0000,0.0106,0,0,0.3415
2015,26,NW,All,19,2,21,0,0,0,315,24,339,18,35,0.0000,0.0000,0.0141,0,0,0.4938
2015,26,NE,Pipiens,6,6,12,0,0,0,20,108,128,10,2,0.0000,0.0000,0.0214,0,0,0.0428
2015,26,NE,Tarsalis,20,3,23,1,0,1,776,24,800,10,77.6,0.0013,0.0001,0.0062,0.1009,0.0078,0.4811
2015,26,NE,All,26,9,35,1,0,1,796,132,928,20,79.6,0.0013,0.0001,0.0066,0.1009,0.0078,0.5239
2015,26,SE,Pipiens,11,7,18,0,1,1,52,265,317,15,3.47,0.0031,0.0002,0.0154,0.0108,7.00E-04,0.0534
2015,26,SE,Tarsalis,28,0,28,0,0,0,1006,0,1006,15,67.07,0.0000,0.0000,0.0035,0,0,0.2347
2015,26,SE,All,39,7,46,0,1,1,1058,265,1323,30,70.54,0.0002,0.0000,0.0041,0.0108,7.00E-04,0.2881
2015,26,SW,Pipiens,4,2,6,0,0,0,7,17,24,9,0.78,0.0000,0.0000,0.0963,0,0,0.0751
2015,26,SW,Tarsalis,8,0,8,0,0,0,90,0,90,9,10,0.0000,0.0000,0.0328,0,0,0.328
2015,26,SW,All,12,2,14,0,0,0,97,17,114,18,10.78,0.0000,0.0000,0.0374,0,0,0.4031
2015,26,FC,Pipiens,31,17,48,0,1,1,118,414,532,49,2.41,0.0019,0.0001,0.0092,0.0046,2.00E-04,0.0222
2015,26,FC,Tarsalis,83,3,86,1,0,1,2749,24,2773,49,56.1,0.0004,0.0000,0.0018,0.0224,0,0.101
2015,26,FC,All,114,20,134,1,1,2,2867,438,3305,98,58.51,0.0005,0.0000,0.0021,0.027,2.00E-04,0.1232
2015,26,LV,Pipiens,4,0,4,0,0,0,14,0,14,6,2.33,0.0000,0.0000,0.1742,0,0,0.4059
2015,26,LV,Tarsalis,14,0,14,0,0,0,587,0,587,6,97.83,0.0000,0.0000,0.0057,0,0,0.5576
2015,26,LV,All,18,0,18,0,0,0,601,0,601,12,100.16,0.0000,0.0000,0.0096,0,0,0.9635
2015,27,NW,Pipiens,8,2,10,0,0,0,51,7,58,9,5.67,0.0000,0.0000,0.0403,0,0,0.2285
2015,27,NW,Tarsalis,7,0,7,0,0,0,107,0,107,9,11.89,0.0000,0.0000,0.0244,0,0,0.2901
2015,27,NW,All,15,2,17,0,0,0,158,7,165,18,17.56,0.0000,0.0000,0.0295,0,0,0.5186
2015,27,NE,Pipiens,7,4,11,0,0,0,92,55,147,10,9.2,0.0000,0.0000,0.0210,0,0,0.1932
2015,27,NE,Tarsalis,15,0,15,1,0,1,482,0,482,10,48.2,0.0021,0.0001,0.0102,0.1012,0.0048,0.4916
2015,27,NE,All,22,4,26,1,0,1,574,55,629,20,57.4,0.0018,0.0001,0.0119,0.1012,0.0048,0.6848
2015,27,SE,Pipiens,10,6,16,0,0,0,38,207,245,15,2.53,0.0000,0.0000,0.0124,0,0,0.0314
