date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/4/2023,Fort Collins,Redwood,FC NE,Aedes dorsalis,36,CDC Light Trap,FC-040
6/4/2023,Fort Collins,FC Visitor Center,FC NE,Culex tarsalis,3,CDC Light Trap,FC-014
6/4/2023,Fort Collins,Linden Lake Rd,FC NE,Aedes increpitus,2,CDC Light Trap,FC-069
6/4/2023,Fort Collins,Linden Lake Rd,FC NE,Aedes vexans,106,CDC Light Trap,FC-069
6/4/2023,Fort Collins,Linden Lake Rd,FC NE,Culex tarsalis,1,CDC Light Trap,FC-069
6/4/2023,Fort Collins,Linden Lake Rd,FC NE,Aedes dorsalis,3,CDC Light Trap,FC-069
6/4/2023,Fort Collins,Hemlock,FC NW,Aedes vexans,185,CDC Light Trap,FC-036 
6/4/2023,Fort Collins,Hemlock,FC NW,Culex tarsalis,1,CDC Light Trap,FC-036 
6/4/2023,Fort Collins,Hemlock,FC NW,Aedes increpitus,1,CDC Light Trap,FC-036 
6/4/2023,Fort Collins,PVH Gravid,FC NE,No Mosquitoes,0,Gravid Trap,FC-091gr
6/4/2023,Fort Collins,Poudre River Trail,FC NE,Aedes increpitus,100,CDC Light Trap,FC-067
6/4/2023,Fort Collins,Poudre River Trail,FC NE,Culiseta inornata,12,CDC Light Trap,FC-067
6/4/2023,Fort Collins,Poudre River Trail,FC NE,Aedes dorsalis,16,CDC Light Trap,FC-067
6/4/2023,Fort Collins,Poudre River Trail,FC NE,Aedes vexans,680,CDC Light Trap,FC-067
6/4/2023,Fort Collins,Edora Park,FC NE,Culex pipiens,1,CDC Light Trap,FC-019
6/4/2023,Fort Collins,N. Linden,FC NE,Aedes dorsalis,7,CDC Light Trap,FC-006
6/4/2023,Fort Collins,N. Linden,FC NE,Aedes vexans,52,CDC Light Trap,FC-006
6/4/2023,Fort Collins,Udall Natural Gravid,FC NE,Culex pipiens,3,Gravid Trap,FC-092gr
6/4/2023,Fort Collins,Edora Park,FC NE,Aedes increpitus,2,CDC Light Trap,FC-019
6/4/2023,Fort Collins,Edora Park,FC NE,Aedes vexans,23,CDC Light Trap,FC-019
6/4/2023,Fort Collins,Hemlock,FC NW,Aedes dorsalis,4,CDC Light Trap,FC-036 
6/4/2023,Fort Collins,Hemlock,FC NW,Aedes melanimon,1,CDC Light Trap,FC-036 
6/4/2023,Fort Collins,Hemlock,FC NW,Culex pipiens,1,CDC Light Trap,FC-036 
6/4/2023,Fort Collins,Prospect Ponds,FC NE,Aedes vexans,244,CDC Light Trap,FC-066
6/4/2023,Fort Collins,Prospect Ponds,FC NE,Aedes dorsalis,20,CDC Light Trap,FC-066
6/4/2023,Fort Collins,Prospect Ponds,FC NE,Culex tarsalis,1,CDC Light Trap,FC-066
6/4/2023,Fort Collins,Prospect Ponds,FC NE,Aedes increpitus,16,CDC Light Trap,FC-066
6/4/2023,Fort Collins,Prospect Ponds,FC NE,Aedes melanimon,8,CDC Light Trap,FC-066
6/4/2023,Fort Collins,Prospect Ponds,FC NE,Culiseta inornata,4,CDC Light Trap,FC-066
6/4/2023,Fort Collins,Prospect Ponds,FC NE,Culex pipiens,2,CDC Light Trap,FC-066
6/4/2023,Fort Collins,422 Lake Dr,FC NE,Aedes vexans,88,CDC Light Trap,FC-072
6/4/2023,Fort Collins,422 Lake Dr,FC NE,Aedes increpitus,1,CDC Light Trap,FC-072
6/4/2023,Fort Collins,422 Lake Dr,FC NE,Aedes dorsalis,1,CDC Light Trap,FC-072
6/4/2023,Fort Collins,Redwood Gravid,FC NE,Culex pipiens,2,Gravid Trap,FC-040gr
6/4/2023,Fort Collins,Lochside Lane,FC NE,Aedes increpitus,3,CDC Light Trap,FC-038
6/4/2023,Fort Collins,Lochside Lane,FC NE,Aedes melanimon,1,CDC Light Trap,FC-038
6/4/2023,Fort Collins,Lochside Lane,FC NE,Aedes vexans,10,CDC Light Trap,FC-038
6/4/2023,Fort Collins,Redwood,FC NE,Aedes increpitus,4,CDC Light Trap,FC-040
6/4/2023,Fort Collins,Redwood,FC NE,Aedes vexans,120,CDC Light Trap,FC-040
6/4/2023,Fort Collins,Country Club,FC NE,Culex tarsalis,2,CDC Light Trap,FC-034
6/4/2023,Fort Collins,Prospect Ponds Gravid,FC NE,Culex pipiens,1,Gravid Trap,FC-066gr
6/4/2023,Fort Collins,Prospect Ponds Gravid,FC NE,Aedes dorsalis,1,Gravid Trap,FC-066gr
6/4/2023,Fort Collins,Prospect Ponds Gravid,FC NE,Anopheles freeborni,3,Gravid Trap,FC-066gr
6/4/2023,Fort Collins,Prospect Ponds Gravid,FC NE,Aedes vexans,29,Gravid Trap,FC-066gr
6/4/2023,Fort Collins,Prospect Ponds Gravid,FC NE,Aedes increpitus,1,Gravid Trap,FC-066gr
6/4/2023,Fort Collins,Prospect Ponds Gravid,FC NE,Culex tarsalis,2,Gravid Trap,FC-066gr
6/4/2023,Fort Collins,FC Visitor Center,FC NE,Aedes dorsalis,16,CDC Light Trap,FC-014
6/4/2023,Fort Collins,FC Visitor Center,FC NE,Aedes increpitus,4,CDC Light Trap,FC-014
6/4/2023,Fort Collins,FC Visitor Center,FC NE,Aedes vexans,128,CDC Light Trap,FC-014
6/4/2023,Fort Collins,FC Visitor Center,FC NE,Aedes melanimon,72,CDC Light Trap,FC-014
6/4/2023,Fort Collins,Country Club,FC NE,Aedes dorsalis,23,CDC Light Trap,FC-034
6/4/2023,Fort Collins,Country Club,FC NE,Aedes vexans,167,CDC Light Trap,FC-034
6/5/2023,Fort Collins,3001 San Luis,FC SE,Culex tarsalis,2,CDC Light Trap,FC-027
6/5/2023,Fort Collins,West Chase,FC SE,Culex tarsalis,14,CDC Light Trap,FC-064
6/5/2023,Fort Collins,West Chase,FC SE,Aedes trivittatus,1,CDC Light Trap,FC-064
6/5/2023,Fort Collins,West Chase,FC SE,Aedes melanimon,8,CDC Light Trap,FC-064
6/5/2023,Fort Collins,Willow Springs,FC SE,Aedes melanimon,44,CDC Light Trap,FC-031
6/5/2023,Fort Collins,Sage Creek North,FC SE,Culex pipiens,3,CDC Light Trap,FC-075
6/5/2023,Fort Collins,Sage Creek North,FC SE,Aedes vexans,129,CDC Light Trap,FC-075
6/5/2023,Fort Collins,West Chase,FC SE,Aedes dorsalis,2,CDC Light Trap,FC-064
6/5/2023,Fort Collins,West Chase,FC SE,Culex pipiens,1,CDC Light Trap,FC-064
6/5/2023,Fort Collins,West Chase,FC SE,Aedes vexans,98,CDC Light Trap,FC-064
6/5/2023,Fort Collins,Sage Creek North,FC SE,Aedes melanimon,8,CDC Light Trap,FC-075
6/5/2023,Fort Collins,Sage Creek North,FC SE,Culex tarsalis,7,CDC Light Trap,FC-075
6/5/2023,Fort Collins,Rock Creek,FC SE,Aedes vexans,254,CDC Light Trap,FC-074
6/5/2023,Fort Collins,Egret and Rookery,FC SE,Culiseta inornata,2,CDC Light Trap,FC-053
6/5/2023,Fort Collins,Egret and Rookery,FC SE,Aedes melanimon,4,CDC Light Trap,FC-053
6/5/2023,Fort Collins,Egret and Rookery,FC SE,Aedes vexans,101,CDC Light Trap,FC-053
6/5/2023,Fort Collins,Rock Creek,FC SE,Aedes dorsalis,53,CDC Light Trap,FC-074
6/5/2023,Fort Collins,Sage Creek North Gravid,FC SE,Aedes vexans,3,Gravid Trap,FC-075gr
6/5/2023,Fort Collins,Sage Creek North Gravid,FC SE,Culex tarsalis,1,Gravid Trap,FC-075gr
6/5/2023,Fort Collins,Egret and Rookery,FC SE,Culex tarsalis,5,CDC Light Trap,FC-053
6/5/2023,Fort Collins,Rock Creek,FC SE,Aedes melanimon,8,CDC Light Trap,FC-074
6/5/2023,Fort Collins,Willow Springs,FC SE,Culex tarsalis,7,CDC Light Trap,FC-031
6/5/2023,Fort Collins,Willow Springs,FC SE,Aedes dorsalis,36,CDC Light Trap,FC-031
6/5/2023,Fort Collins,Willow Springs,FC SE,Aedes vexans,370,CDC Light Trap,FC-031
6/5/2023,Fort Collins,Westshore Ct,FC SE,Aedes dorsalis,2,CDC Light Trap,FC-046
6/5/2023,Fort Collins,English Ranch Park Gravid,FC SE,Aedes vexans,2,Gravid Trap,FC-088gr
6/5/2023,Fort Collins,English Ranch Park Gravid,FC SE,Culex pipiens,11,Gravid Trap,FC-088gr
6/5/2023,Fort Collins,Westshore Ct,FC SE,Culex tarsalis,2,CDC Light Trap,FC-046
6/5/2023,Fort Collins,Westshore Ct,FC SE,Culex pipiens,2,CDC Light Trap,FC-046
6/5/2023,Fort Collins,Westshore Ct,FC SE,Culiseta inornata,1,CDC Light Trap,FC-046
6/5/2023,Fort Collins,Willow Springs,FC SE,Culex pipiens,2,CDC Light Trap,FC-031
6/5/2023,Fort Collins,Big Horn,FC SE,Aedes vexans,198,CDC Light Trap,FC-004
6/5/2023,Fort Collins,Big Horn,FC SE,Culex tarsalis,6,CDC Light Trap,FC-004
6/5/2023,Fort Collins,Westshore Ct,FC SE,Aedes vexans,158,CDC Light Trap,FC-046
6/5/2023,Fort Collins,Boltz,FC SE,Aedes vexans,42,CDC Light Trap,FC-023
