date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_name
7/31/2024,Berthoud,Berthoud Park,BE,Culex tarsalis,147,LC-001 
7/31/2024,Berthoud,Berthoud Park,BE,Culex pipiens,8,LC-001 
7/31/2024,Berthoud,Berthoud North,BE,Culex tarsalis,67,LC-049 
7/31/2024,Berthoud,Berthoud West,BE,Culex tarsalis,42,LC-053 
7/31/2024,Berthoud,Berthoud Point,BE,Culex pipiens,3,LC-054 
7/31/2024,Berthoud,Berthoud Point,BE,Culex tarsalis,56,LC-054 
7/31/2024,Berthoud,Berthoud East,BE,Culex tarsalis,11,WC-055
7/29/2024,Fort Collins,N. Linden,NE,Culex tarsalis,1,FC-006
7/29/2024,Fort Collins,FC Visitor Center,NE,Culex pipiens,13,FC-014
7/29/2024,Fort Collins,FC Visitor Center,NE,Culex tarsalis,42,FC-014
7/29/2024,Fort Collins,Edora Park,NE,Culex tarsalis,26,FC-019
7/29/2024,Fort Collins,Edora Park,NE,Culex pipiens,12,FC-019
7/29/2024,Fort Collins,Country Club,NE,Culex tarsalis,30,FC-034
7/29/2024,Fort Collins,Hemlock,NW,Culex tarsalis,43,FC-036 
7/29/2024,Fort Collins,Hemlock,NW,Culex pipiens,29,FC-036 
7/29/2024,Fort Collins,Lochside Lane,NE,Culex tarsalis,22,FC-038
7/29/2024,Fort Collins,Lochside Lane,NE,Culex pipiens,5,FC-038
7/29/2024,Fort Collins,Redwood,NE,Culex pipiens,2,FC-040
7/29/2024,Fort Collins,Redwood,NE,Culex tarsalis,10,FC-040
7/29/2024,Fort Collins,Redwood Gravid,NE,Culex tarsalis,1,FC-040gr
7/29/2024,Fort Collins,Redwood Gravid,NE,Culex pipiens,54,FC-040gr
7/29/2024,Fort Collins,Prospect Ponds,NE,Culex tarsalis,56,FC-066
7/29/2024,Fort Collins,Prospect Ponds,NE,Culex pipiens,16,FC-066
7/29/2024,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,27,FC-066gr
7/29/2024,Fort Collins,Poudre River Trail,NE,Culex pipiens,2,FC-067
7/29/2024,Fort Collins,Poudre River Trail,NE,Culex tarsalis,5,FC-067
7/29/2024,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,3,FC-069
7/29/2024,Fort Collins,Linden Lake Rd,NE,Culex pipiens,1,FC-069
7/29/2024,Fort Collins,422 Lake Dr,NE,Culex pipiens,10,FC-072
7/29/2024,Fort Collins,422 Lake Dr,NE,Culex tarsalis,38,FC-072
7/29/2024,Fort Collins,PVH Gravid,NE,Culex pipiens,10,FC-091gr
7/29/2024,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,21,FC-092gr
7/30/2024,Fort Collins,Big Horn,SE,Culex tarsalis,43,FC-004
7/30/2024,Fort Collins,Big Horn,SE,Culex pipiens,13,FC-004
