date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/10/2024,Berthoud,Berthoud Park,BE,Culex tarsalis,44,CDC Light Trap,LC-001 
7/10/2024,Berthoud,Berthoud Park,BE,Culex pipiens,7,CDC Light Trap,LC-001 
7/10/2024,Berthoud,Berthoud North,BE,Culex tarsalis,41,CDC Light Trap,LC-049 
7/10/2024,Berthoud,Berthoud West,BE,Culex tarsalis,12,CDC Light Trap,LC-053 
7/10/2024,Berthoud,Berthoud Point,BE,Culex pipiens,1,CDC Light Trap,LC-054 
7/10/2024,Berthoud,Berthoud Point,BE,Culex tarsalis,72,CDC Light Trap,LC-054 
7/10/2024,Berthoud,Berthoud East,BE,Culex tarsalis,5,CDC Light Trap,WC-055
7/8/2024,Fort Collins,N. Linden,NE,Culex tarsalis,1,CDC Light Trap,FC-006
7/8/2024,Fort Collins,FC Visitor Center,NE,Culex tarsalis,30,CDC Light Trap,FC-014
7/8/2024,Fort Collins,FC Visitor Center,NE,Culex pipiens,5,CDC Light Trap,FC-014
7/8/2024,Fort Collins,Edora Park,NE,Culex pipiens,21,CDC Light Trap,FC-019
7/8/2024,Fort Collins,Edora Park,NE,Culex tarsalis,22,CDC Light Trap,FC-019
7/8/2024,Fort Collins,Country Club,NE,Culex tarsalis,8,CDC Light Trap,FC-034
7/8/2024,Fort Collins,Hemlock,NW,Culex tarsalis,14,CDC Light Trap,FC-036 
7/8/2024,Fort Collins,Hemlock,NW,Culex pipiens,10,CDC Light Trap,FC-036 
7/8/2024,Fort Collins,Lochside Lane,NE,Culex tarsalis,14,CDC Light Trap,FC-038
7/8/2024,Fort Collins,Redwood,NE,Culex tarsalis,23,CDC Light Trap,FC-040
7/8/2024,Fort Collins,Redwood,NE,Culex pipiens,5,CDC Light Trap,FC-040
7/8/2024,Fort Collins,Redwood Gravid,NE,Culex pipiens,38,Gravid Trap,FC-040gr
7/8/2024,Fort Collins,Prospect Ponds,NE,Culex tarsalis,25,CDC Light Trap,FC-066
7/8/2024,Fort Collins,Prospect Ponds,NE,Culex pipiens,12,CDC Light Trap,FC-066
7/8/2024,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,4,Gravid Trap,FC-066gr
7/8/2024,Fort Collins,Poudre River Trail,NE,Culex tarsalis,1,CDC Light Trap,FC-067
7/8/2024,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,2,CDC Light Trap,FC-069
7/8/2024,Fort Collins,Linden Lake Rd,NE,Culex pipiens,2,CDC Light Trap,FC-069
7/8/2024,Fort Collins,422 Lake Dr,NE,Culex tarsalis,19,CDC Light Trap,FC-072
7/8/2024,Fort Collins,422 Lake Dr,NE,Culex pipiens,15,CDC Light Trap,FC-072
7/8/2024,Fort Collins,PVH Gravid,NE,Culex pipiens,2,Gravid Trap,FC-091gr
7/8/2024,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,9,Gravid Trap,FC-092gr
7/9/2024,Fort Collins,Big Horn,SE,Culex pipiens,11,CDC Light Trap,FC-004
7/9/2024,Fort Collins,Big Horn,SE,Culex tarsalis,33,CDC Light Trap,FC-004
7/9/2024,Fort Collins,Boltz,SE,Culex tarsalis,7,CDC Light Trap,FC-023
7/9/2024,Fort Collins,Boltz,SE,Culex pipiens,1,CDC Light Trap,FC-023
7/9/2024,Fort Collins,3001 San Luis,SE,Culex pipiens,19,CDC Light Trap,FC-027
7/9/2024,Fort Collins,3001 San Luis,SE,Culex tarsalis,6,CDC Light Trap,FC-027
7/9/2024,Fort Collins,Willow Springs,SE,Culex pipiens,3,CDC Light Trap,FC-031
7/9/2024,Fort Collins,Willow Springs,SE,Culex tarsalis,97,CDC Light Trap,FC-031
7/9/2024,Fort Collins,Fossil Creek South,SE,Culex tarsalis,7,CDC Light Trap,FC-039
7/9/2024,Fort Collins,Westshore Ct,SE,Culex pipiens,9,CDC Light Trap,FC-046
7/9/2024,Fort Collins,Westshore Ct,SE,Culex tarsalis,16,CDC Light Trap,FC-046
7/9/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,2,CDC Light Trap,FC-047
7/9/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,11,CDC Light Trap,FC-047
7/9/2024,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,3,CDC Light Trap,FC-050
7/9/2024,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,6,CDC Light Trap,FC-050
7/9/2024,Fort Collins,Egret and Rookery,SE,Culex tarsalis,4,CDC Light Trap,FC-053
7/9/2024,Fort Collins,Springwood and Lochwood,SE,No Mosquitoes,0,CDC Light Trap,FC-059
7/9/2024,Fort Collins,West Chase,SE,Culex tarsalis,47,CDC Light Trap,FC-064
7/9/2024,Fort Collins,West Chase,SE,Culex pipiens,20,CDC Light Trap,FC-064
7/9/2024,Fort Collins,Rock Creek,SE,Culex pipiens,2,CDC Light Trap,FC-074
7/9/2024,Fort Collins,Rock Creek,SE,Culex tarsalis,58,CDC Light Trap,FC-074
7/9/2024,Fort Collins,Sage Creek North,SE,Culex pipiens,6,CDC Light Trap,FC-075
7/9/2024,Fort Collins,Sage Creek North,SE,Culex tarsalis,7,CDC Light Trap,FC-075
7/9/2024,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,13,Gravid Trap,FC-075gr
7/9/2024,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,63,Gravid Trap,FC-088gr
7/9/2024,Fort Collins,English Ranch Park Gravid,SE,Culex tarsalis,1,Gravid Trap,FC-088gr
7/10/2024,Fort Collins,Golden Current,NW,Culex pipiens,9,CDC Light Trap,FC-011
7/10/2024,Fort Collins,Golden Current,NW,Culex tarsalis,2,CDC Light Trap,FC-011
7/10/2024,Fort Collins,Stuart and Dorset,NW,Culex pipiens,2,CDC Light Trap,FC-015
7/10/2024,Fort Collins,Fishback,NW,Culex tarsalis,4,CDC Light Trap,FC-041
7/10/2024,Fort Collins,Fishback,NW,Culex pipiens,13,CDC Light Trap,FC-041
7/10/2024,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,13,CDC Light Trap,FC-049
7/10/2024,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,13,CDC Light Trap,FC-049
7/10/2024,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,4,CDC Light Trap,FC-052
7/10/2024,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,2,CDC Light Trap,FC-052
7/10/2024,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,1,CDC Light Trap,FC-058
7/10/2024,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex pipiens,2,CDC Light Trap,FC-058
