date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_name,
7/17/2024,Berthoud,Berthoud Park,BE,Culex pipiens,31,LC-001 ,
7/17/2024,Berthoud,Berthoud Park,BE,Culex tarsalis,188,LC-001 ,
7/17/2024,Berthoud,Berthoud North,BE,Culex tarsalis,78,LC-049 ,
7/17/2024,Berthoud,Berthoud North,BE,Culex pipiens,2,LC-049 ,
7/17/2024,Berthoud,Berthoud West,BE,Culex tarsalis,140,LC-053 ,
7/17/2024,Berthoud,Berthoud Point,BE,Culex tarsalis,1,LC-054 ,
7/17/2024,Berthoud,Berthoud East,BE,Culex tarsalis,10,WC-055,
7/15/2024,Fort Collins,N. Linden,NE,Culex pipiens,7,FC-006,
7/15/2024,Fort Collins,N. Linden,NE,Culex tarsalis,12,FC-006,
7/15/2024,Fort Collins,FC Visitor Center,NE,Culex tarsalis,52,FC-014,
7/15/2024,Fort Collins,FC Visitor Center,NE,Culex pipiens,6,FC-014,
7/15/2024,Fort Collins,Edora Park,NE,Culex tarsalis,29,FC-019,
7/15/2024,Fort Collins,Edora Park,NE,Culex pipiens,9,FC-019,
7/15/2024,Fort Collins,Country Club,NE,Culex tarsalis,13,FC-034,
7/15/2024,Fort Collins,Hemlock,NW,Culex tarsalis,89,FC-036 ,
7/15/2024,Fort Collins,Hemlock,NW,Culex pipiens,41,FC-036 ,
7/15/2024,Fort Collins,Lochside Lane,NE,Culex pipiens,2,FC-038,
7/15/2024,Fort Collins,Lochside Lane,NE,Culex tarsalis,42,FC-038,
7/15/2024,Fort Collins,Redwood,NE,Culex tarsalis,9,FC-040,
7/15/2024,Fort Collins,Redwood,NE,Culex pipiens,6,FC-040,
7/15/2024,Fort Collins,Redwood Gravid,NE,Culex pipiens,105,FC-040gr,
7/15/2024,Fort Collins,Prospect Ponds,NE,Culex tarsalis,110,FC-066,
7/15/2024,Fort Collins,Prospect Ponds,NE,Culex pipiens,24,FC-066,
7/15/2024,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,30,FC-066gr,
7/15/2024,Fort Collins,Prospect Ponds Gravid,NE,Culex tarsalis,1,FC-066gr,
7/15/2024,Fort Collins,Poudre River Trail,NE,Culex tarsalis,4,FC-067,
7/15/2024,Fort Collins,Linden Lake Rd,NE,Trap Malfunction,0,FC-069,
7/15/2024,Fort Collins,422 Lake Dr,NE,Culex tarsalis,18,FC-072,
7/15/2024,Fort Collins,422 Lake Dr,NE,Culex pipiens,13,FC-072,
7/15/2024,Fort Collins,PVH Gravid,NE,Culex pipiens,9,FC-091gr,
7/15/2024,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,60,FC-092gr,
7/16/2024,Fort Collins,Big Horn,SE,Culex pipiens,17,FC-004,
7/16/2024,Fort Collins,Big Horn,SE,Culex tarsalis,35,FC-004,
7/16/2024,Fort Collins,Boltz,SE,Culex pipiens,3,FC-023,
7/16/2024,Fort Collins,Boltz,SE,Culex tarsalis,10,FC-023,
7/16/2024,Fort Collins,3001 San Luis,SE,Culex pipiens,7,FC-027,
7/16/2024,Fort Collins,3001 San Luis,SE,Culex tarsalis,16,FC-027,
7/16/2024,Fort Collins,Willow Springs,SE,Culex tarsalis,27,FC-031,
7/16/2024,Fort Collins,Willow Springs,SE,Culex pipiens,1,FC-031,
7/16/2024,Fort Collins,Fossil Creek South,SE,Culex tarsalis,1,FC-039,
7/16/2024,Fort Collins,Westshore Ct,SE,Culex tarsalis,3,FC-046,
7/16/2024,Fort Collins,Westshore Ct,SE,Culex pipiens,1,FC-046,
7/16/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,15,FC-047,
7/16/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,2,FC-047,
7/16/2024,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,4,FC-050,
7/16/2024,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,4,FC-050,
7/16/2024,Fort Collins,Egret and Rookery,SE,Culex tarsalis,55,FC-053,
7/16/2024,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,5,FC-059,
7/16/2024,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,3,FC-059,
7/16/2024,Fort Collins,West Chase,SE,Culex pipiens,5,FC-064,
7/16/2024,Fort Collins,West Chase,SE,Culex tarsalis,14,FC-064,
7/16/2024,Fort Collins,Rock Creek,SE,Culex tarsalis,20,FC-074,
7/16/2024,Fort Collins,Sage Creek North,SE,Culex pipiens,15,FC-075,
7/16/2024,Fort Collins,Sage Creek North,SE,Culex tarsalis,42,FC-075,
7/16/2024,Fort Collins,Sage Creek North Gravid,SE,Culex tarsalis,1,FC-075gr,
7/16/2024,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,15,FC-075gr,
7/16/2024,Fort Collins,English Ranch Park Gravid,SE,Culex tarsalis,2,FC-088gr,
7/16/2024,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,144,FC-088gr,
7/17/2024,Fort Collins,Golden Current,NW,Culex pipiens,3,FC-011,
7/17/2024,Fort Collins,Golden Current,NW,Culex tarsalis,11,FC-011,
