date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/19/2024,Berthoud,Berthoud Park,BE,Culex tarsalis,1,CDC Light Trap,LC-001 
6/19/2024,Berthoud,Berthoud Park,BE,Culex pipiens,1,CDC Light Trap,LC-001 
6/19/2024,Berthoud,Berthoud North,BE,Culex tarsalis,1,CDC Light Trap,LC-049 
6/19/2024,Berthoud,Berthoud Point,BE,Culex tarsalis,4,CDC Light Trap,LC-054 
6/17/2024,Fort Collins,N. Linden,NE,Culex pipiens,2,CDC Light Trap,FC-006
6/17/2024,Fort Collins,FC Visitor Center,NE,Culex tarsalis,8,CDC Light Trap,FC-014
6/17/2024,Fort Collins,Country Club,NE,Culex tarsalis,13,CDC Light Trap,FC-034
6/17/2024,Fort Collins,Hemlock,NW,Culex pipiens,3,CDC Light Trap,FC-036 
6/17/2024,Fort Collins,Hemlock,NW,Culex tarsalis,21,CDC Light Trap,FC-036 
6/17/2024,Fort Collins,Lochside Lane,NE,Culex tarsalis,25,CDC Light Trap,FC-038
6/17/2024,Fort Collins,Redwood,NE,Culex pipiens,2,CDC Light Trap,FC-040
6/17/2024,Fort Collins,Redwood,NE,Culex tarsalis,12,CDC Light Trap,FC-040
6/17/2024,Fort Collins,Redwood Gravid,NE,Culex pipiens,18,Gravid Trap,FC-040gr
6/17/2024,Fort Collins,Prospect Ponds,NE,Culex tarsalis,47,CDC Light Trap,FC-066
6/17/2024,Fort Collins,Prospect Ponds,NE,Culex pipiens,8,CDC Light Trap,FC-066
6/17/2024,Fort Collins,Poudre River Trail,NE,Culex pipiens,1,CDC Light Trap,FC-067
6/17/2024,Fort Collins,Poudre River Trail,NE,Culex tarsalis,1,CDC Light Trap,FC-067
6/17/2024,Fort Collins,Linden Lake Rd,NE,Culex pipiens,1,CDC Light Trap,FC-069
6/17/2024,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,6,CDC Light Trap,FC-069
6/17/2024,Fort Collins,422 Lake Dr,NE,Culex tarsalis,8,CDC Light Trap,FC-072
6/17/2024,Fort Collins,PVH Gravid,NE,Culex pipiens,1,Gravid Trap,FC-091gr
6/17/2024,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,4,Gravid Trap,FC-092gr
6/18/2024,Fort Collins,Big Horn,SE,Culex tarsalis,7,CDC Light Trap,FC-004
6/18/2024,Fort Collins,Boltz,SE,Culex tarsalis,1,CDC Light Trap,FC-023
6/18/2024,Fort Collins,3001 San Luis,SE,Culex pipiens,1,CDC Light Trap,FC-027
6/18/2024,Fort Collins,3001 San Luis,SE,Culex tarsalis,1,CDC Light Trap,FC-027
6/18/2024,Fort Collins,Willow Springs,SE,Culex tarsalis,18,CDC Light Trap,FC-031
6/18/2024,Fort Collins,Fossil Creek South,SE,Culex tarsalis,1,CDC Light Trap,FC-039
6/18/2024,Fort Collins,Westshore Ct,SE,Culex tarsalis,4,CDC Light Trap,FC-046
6/18/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,8,CDC Light Trap,FC-047
6/18/2024,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,4,CDC Light Trap,FC-050
6/18/2024,Fort Collins,Egret and Rookery,SE,Culex tarsalis,20,CDC Light Trap,FC-053
6/18/2024,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,3,CDC Light Trap,FC-059
6/18/2024,Fort Collins,West Chase,SE,Culex tarsalis,12,CDC Light Trap,FC-064
6/18/2024,Fort Collins,Rock Creek,SE,Culex tarsalis,13,CDC Light Trap,FC-074
6/18/2024,Fort Collins,Sage Creek North,SE,Culex tarsalis,2,CDC Light Trap,FC-075
6/18/2024,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,8,Gravid Trap,FC-075gr
6/18/2024,Fort Collins,Sage Creek North Gravid,SE,Culex tarsalis,2,Gravid Trap,FC-075gr
6/18/2024,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,19,Gravid Trap,FC-088gr
6/18/2024,Fort Collins,English Ranch Park Gravid,SE,Culex tarsalis,1,Gravid Trap,FC-088gr
6/19/2024,Fort Collins,Golden Current,NW,Culex tarsalis,2,CDC Light Trap,FC-011
6/19/2024,Fort Collins,Fishback,NW,Culex pipiens,3,CDC Light Trap,FC-041
6/19/2024,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,1,CDC Light Trap,FC-052
6/19/2024,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,6,CDC Light Trap,FC-052
6/19/2024,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,1,CDC Light Trap,FC-058
6/19/2024,Fort Collins,808 Ponderosa,NW,Culex pipiens,1,CDC Light Trap,FC-060
6/19/2024,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,10,CDC Light Trap,FC-061
6/19/2024,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,2,CDC Light Trap,FC-061
6/19/2024,Fort Collins,118 S Grant ,NW,Culex tarsalis,3,CDC Light Trap,FC-073
6/19/2024,Fort Collins,118 S Grant ,NW,Culex pipiens,1,CDC Light Trap,FC-073
6/19/2024,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,3,Gravid Trap,FC-090gr
6/20/2024,Fort Collins,Magic Carpet,SW,Culex tarsalis,3,CDC Light Trap,FC-001
6/20/2024,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,4,Gravid Trap,FC-029gr
6/20/2024,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,6,CDC Light Trap,FC-037
6/20/2024,Fort Collins,Chelsea Ridge,SW,Culex pipiens,4,CDC Light Trap,FC-037
6/20/2024,Fort Collins,737 Parliament,SE,Culex tarsalis,2,CDC Light Trap,FC-054
6/20/2024,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,3,Gravid Trap,FC-089gr
6/20/2024,Fort Collins,Lopez Elementary,SW,Culex tarsalis,1,CDC Light Trap,FC-093
6/17/2024,Loveland,29th and Madison,LV,Culex tarsalis,12,CDC Light Trap,LV-004
6/17/2024,Loveland,Horseshoe Peninsula,LV,Culex tarsalis,2,CDC Light Trap,LV-069
6/17/2024,Loveland,7 Lakes Park,LV,Culex tarsalis,11,CDC Light Trap,LV-078
6/17/2024,Loveland,7 Lakes Gravid,LV,Culex pipiens,1,Gravid Trap,LV-079gr
6/17/2024,Loveland,Harding and Reagan,LV,Culex pipiens,2,CDC Light Trap,LV-080
6/17/2024,Loveland,Harding and Reagan,LV,Culex tarsalis,22,CDC Light Trap,LV-080
6/17/2024,Loveland,2229 Arikaree,LV,Culex tarsalis,31,CDC Light Trap,LV-088
6/17/2024,Loveland,2229 Arikaree,LV,Culex pipiens,3,CDC Light Trap,LV-088
6/17/2024,Loveland,Boyd Lake,LV,Culex tarsalis,12,CDC Light Trap,LV-095
6/17/2024,Loveland,Sundisk and 13E,LV,Culex pipiens,1,CDC Light Trap,LV-116
6/17/2024,Loveland,Centerra,LV,Culex tarsalis,3,CDC Light Trap,LV-117
6/17/2024,Loveland,Centerra,LV,Culex pipiens,1,CDC Light Trap,LV-117
6/18/2024,Loveland,Jefferson and 11th,LV,Culex tarsalis,5,CDC Light Trap,LV-074
6/18/2024,Loveland,Jefferson And 11th Gravid,LV,Culex pipiens,7,Gravid Trap,LV-074gr
6/18/2024,Loveland,1105 East 1st Street,LV,Culex pipiens,1,CDC Light Trap,LV-077
6/18/2024,Loveland,9th and DesMoines,LV,Culex tarsalis,5,CDC Light Trap,LV-089
6/18/2024,Loveland,Downtown Loveland ,LV,Culex tarsalis,1,CDC Light Trap,LV-100
6/18/2024,Loveland,Cr 20 and 9,LV,Culex pipiens,1,CDC Light Trap,LV-104
6/18/2024,Loveland,Cr 20 and 9,LV,Culex tarsalis,9,CDC Light Trap,LV-104
6/18/2024,Loveland,Big Thompson ,LV,Culex tarsalis,13,CDC Light Trap,LV-110
6/18/2024,Loveland,Big Thompson ,LV,Culex pipiens,1,CDC Light Trap,LV-110
6/18/2024,Loveland,915 S Boise,LV,Culex tarsalis,16,CDC Light Trap,LV-112
6/18/2024,Loveland,Springs at Marianna,LV,Culex tarsalis,4,CDC Light Trap,LV-113
6/18/2024,Loveland,Golf Vista,LV,Culex tarsalis,2,CDC Light Trap,LV-118
6/18/2024,Loveland,Golf Vista,LV,Culex pipiens,3,CDC Light Trap,LV-118
6/18/2024,Loveland,Keysight Technologies,LV,Culex tarsalis,9,CDC Light Trap,LV-124
6/18/2024,Loveland,8th And No Name,LV,Culex tarsalis,6,CDC Light Trap,LV-125
6/18/2024,Loveland,8th And No Name,LV,Culex pipiens,2,CDC Light Trap,LV-125
6/19/2024,Loveland,Cattail Pond,LV,Culex tarsalis,57,CDC Light Trap,LV-020
6/19/2024,Loveland,Linda and 26th ,LV,Culex tarsalis,1,CDC Light Trap,LV-021
6/19/2024,Loveland,2001 S Douglas,LV,Culex tarsalis,4,CDC Light Trap,LV-042
6/19/2024,Loveland,Del Norte Private Park,LV,Culex tarsalis,3,CDC Light Trap,LV-067
6/19/2024,Loveland,Derby Hill,LV,Culex tarsalis,3,CDC Light Trap,LV-087
6/19/2024,Loveland,Jill Drive Pond,LV,Culex tarsalis,25,CDC Light Trap,LV-114
6/19/2024,Loveland,Jill Drive Pond,LV,Culex pipiens,1,CDC Light Trap,LV-114
6/19/2024,Loveland,End of City Limits North,LV,Culex tarsalis,2,CDC Light Trap,LV-120
6/20/2024,Loveland,Hendler Gravid,LV,Culex pipiens,4,Gravid Trap,LV-010gr
6/20/2024,Loveland,Estrella Park,LV,Culex pipiens,1,CDC Light Trap,LV-014
6/20/2024,Loveland,Farasita at Rist Benson,LV,Culex pipiens,4,CDC Light Trap,LV-097
6/20/2024,Loveland,Farasita at Rist Benson,LV,Culex tarsalis,1,CDC Light Trap,LV-097
6/20/2024,Loveland,Fallgold,LV,Culex pipiens,1,CDC Light Trap,LV-122
6/17/2024,Timnath,Timnath - 5th and Kern,TT,Culex tarsalis,2,CDC Light Trap,LC-010 
6/17/2024,Timnath,Timnath - Golf Course,TT,Culex tarsalis,1,CDC Light Trap,LC-022 
6/17/2024,Timnath,Timnath - Summerfields,TT,Culex tarsalis,10,CDC Light Trap,LC-048 
6/17/2024,Timnath,Timnath - Wildwing,TT,Culex tarsalis,7,CDC Light Trap,LC-050 
6/17/2024,Timnath,Timnath - Serratoga Falls,TT,Culex tarsalis,12,CDC Light Trap,LC-051 
6/17/2024,Timnath,Timnath - Trailside,TT,Culex tarsalis,14,CDC Light Trap,LC-057
