"date_trap_set","contract","location","zone","mosquito_species","mosquito_count","trap_type","trap_name"
"5/26/2020","Fort Collins","Lochside Lane","FC NE","Culiseta inornata","12","CDC Light Trap","FC-038"
"5/26/2020","Fort Collins","Hemlock","FC NW","Aedes increpitus","41","CDC Light Trap","FC-036"
"5/26/2020","Fort Collins","Linden Lake Rd","FC NE","Aedes vexans","1","CDC Light Trap","FC-069"
"5/26/2020","Fort Collins","Linden Lake Rd","FC NE","Aedes increpitus","1","CDC Light Trap","FC-069"
"5/26/2020","Fort Collins","Lochside Lane","FC NE","Aedes dorsalis","5","CDC Light Trap","FC-038"
"5/26/2020","Fort Collins","Hemlock","FC NW","Culex tarsalis","1","CDC Light Trap","FC-036"
"5/26/2020","Fort Collins","Linden Lake Rd","FC NE","Culiseta inornata","2","CDC Light Trap","FC-069"
"5/26/2020","Fort Collins","Linden Lake Rd","FC NE","Culex tarsalis","1","CDC Light Trap","FC-069"
"5/26/2020","Fort Collins","Redwood","FC NE","Aedes dorsalis","6","CDC Light Trap","FC-040"
"5/26/2020","Fort Collins","Country Club","FC NE","Aedes increpitus","2","CDC Light Trap","FC-034"
"5/26/2020","Fort Collins","Country Club","FC NE","Culiseta inornata","1","CDC Light Trap","FC-034"
"5/27/2020","Fort Collins","Egret and Rookery","FC SE","Aedes dorsalis","1","CDC Light Trap","FC-053"
"5/27/2020","Fort Collins","Golden Meadows Ditch","FC SE","No Mosquitoes","0","CDC Light Trap","FC-050"
"5/27/2020","Fort Collins","Westshore Ct","FC SE","Culex tarsalis","3","CDC Light Trap","FC-046"
"5/27/2020","Fort Collins","Westshore Ct","FC SE","Aedes vexans","4","CDC Light Trap","FC-046"
"5/27/2020","Fort Collins","Fossil Creek South","FC SE","Aedes vexans","1","CDC Light Trap","FC-039"
"5/27/2020","Fort Collins","Fossil Creek South","FC SE","Aedes spp.","3","CDC Light Trap","FC-039"
"5/27/2020","Fort Collins","Sage Creek North Gravid","FC SE","Culex pipiens","5","Gravid Trap","FC-075gr"
"5/27/2020","Fort Collins","Sage Creek North Gravid","FC SE","Culiseta inornata","2","Gravid Trap","FC-075gr"
"5/27/2020","Fort Collins","West Chase","FC SE","Culex tarsalis","5","CDC Light Trap","FC-064"
"5/27/2020","Fort Collins","West Chase","FC SE","Aedes vexans","16","CDC Light Trap","FC-064"
"5/27/2020","Fort Collins","Springwood and Lochwood","FC SE","Culex tarsalis","1","CDC Light Trap","FC-059"
"5/27/2020","Fort Collins","West Chase","FC SE","Aedes dorsalis","24","CDC Light Trap","FC-064"
"5/27/2020","Fort Collins","West Chase","FC SE","Culiseta inornata","6","CDC Light Trap","FC-064"
"5/27/2020","Fort Collins","Big Horn","FC SE","Culex tarsalis","2","CDC Light Trap","FC-004"
"5/27/2020","Fort Collins","Boltz","FC SE","Culiseta inornata","1","CDC Light Trap","FC-023"
"5/27/2020","Fort Collins","English Ranch Park Gravid","FC SE","Culex pipiens","9","Gravid Trap","FC-088gr"
"5/27/2020","Fort Collins","Rock Creek","FC SE","Aedes vexans","1","CDC Light Trap","FC-074"
