"key","trap_id","zone","zone2","year","week","trap_date","method","spp","trap_status","total","source"
"LC010|Pipiens|2019|25","LC-010","BE","BE",2019,25,2019-06-23,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2019|25","LC-010","BE","BE",2019,25,2019-06-23,"L","Tarsalis","culex",1,"vdci"
"LC010|Pipiens|2019|26","LC-010","BE","BE",2019,26,2019-06-30,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2019|26","LC-010","BE","BE",2019,26,2019-06-30,"L","Tarsalis","culex",40,"vdci"
"LC010|Pipiens|2019|27","LC-010","BE","BE",2019,27,2019-07-07,"L","Pipiens","culex",8,"vdci"
"LC010|Tarsalis|2019|27","LC-010","BE","BE",2019,27,2019-07-07,"L","Tarsalis","culex",88,"vdci"
"LC010|Pipiens|2019|28","LC-010","BE","BE",2019,28,2019-07-14,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2019|28","LC-010","BE","BE",2019,28,2019-07-14,"L","Tarsalis","culex",604,"vdci"
"LC010|Pipiens|2019|29","LC-010","BE","BE",2019,29,2019-07-21,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2019|29","LC-010","BE","BE",2019,29,2019-07-21,"L","Tarsalis","culex",100,"vdci"
"LC010|Pipiens|2019|30","LC-010","BE","BE",2019,30,2019-07-28,"L","Pipiens","culex",4,"vdci"
"LC010|Tarsalis|2019|30","LC-010","BE","BE",2019,30,2019-07-28,"L","Tarsalis","culex",132,"vdci"
"LC010|Pipiens|2019|31","LC-010","BE","BE",2019,31,2019-08-04,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2019|31","LC-010","BE","BE",2019,31,2019-08-04,"L","Tarsalis","culex",32,"vdci"
"LC010|Pipiens|2019|32","LC-010","BE","BE",2019,32,2019-08-11,"L","Pipiens","culex",1,"vdci"
"LC010|Tarsalis|2019|32","LC-010","BE","BE",2019,32,2019-08-11,"L","Tarsalis","culex",46,"vdci"
"LC010|Pipiens|2019|33","LC-010","BE","BE",2019,33,2019-08-18,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2019|33","LC-010","BE","BE",2019,33,2019-08-18,"L","Tarsalis","culex",19,"vdci"
"LC010|Pipiens|2019|34","LC-010","BE","BE",2019,34,2019-08-25,"L","Pipiens","culex",2,"vdci"
"LC010|Tarsalis|2019|34","LC-010","BE","BE",2019,34,2019-08-25,"L","Tarsalis","culex",15,"vdci"
"LC010|Pipiens|2020|23","LC-010","BE","BE",2020,23,2020-06-07,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2020|23","LC-010","BE","BE",2020,23,2020-06-07,"L","Tarsalis","culex",1,"vdci"
"LC010|Pipiens|2020|24","LC-010","BE","BE",2020,24,2020-06-14,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2020|24","LC-010","BE","BE",2020,24,2020-06-14,"L","Tarsalis","culex",10,"vdci"
"LC010|Pipiens|2020|25","LC-010","BE","BE",2020,25,2020-06-21,"L","Pipiens","culex",1,"vdci"
"LC010|Tarsalis|2020|25","LC-010","BE","BE",2020,25,2020-06-21,"L","Tarsalis","culex",11,"vdci"
"LC010|Pipiens|2020|26","LC-010","BE","BE",2020,26,2020-06-28,"L","Pipiens","culex",2,"vdci"
"LC010|Tarsalis|2020|26","LC-010","BE","BE",2020,26,2020-06-28,"L","Tarsalis","culex",47,"vdci"
"LC010|Pipiens|2020|27","LC-010","BE","BE",2020,27,2020-07-05,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2020|27","LC-010","BE","BE",2020,27,2020-07-05,"L","Tarsalis","culex",44,"vdci"
"LC010|Pipiens|2020|28","LC-010","BE","BE",2020,28,2020-07-12,"L","Pipiens","culex",1,"vdci"
"LC010|Tarsalis|2020|28","LC-010","BE","BE",2020,28,2020-07-12,"L","Tarsalis","culex",165,"vdci"
"LC010|Pipiens|2020|29","LC-010","BE","BE",2020,29,2020-07-19,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2020|29","LC-010","BE","BE",2020,29,2020-07-19,"L","Tarsalis","culex",58,"vdci"
"LC010|Pipiens|2020|30","LC-010","BE","BE",2020,30,2020-07-26,"L","Pipiens","culex",10,"vdci"
"LC010|Tarsalis|2020|30","LC-010","BE","BE",2020,30,2020-07-26,"L","Tarsalis","culex",117,"vdci"
"LC010|Pipiens|2020|31","LC-010","BE","BE",2020,31,2020-08-02,"L","Pipiens","culex",4,"vdci"
"LC010|Tarsalis|2020|31","LC-010","BE","BE",2020,31,2020-08-02,"L","Tarsalis","culex",29,"vdci"
"LC010|Pipiens|2020|32","LC-010","BE","BE",2020,32,2020-08-09,"L","Pipiens","culex",4,"vdci"
"LC010|Tarsalis|2020|32","LC-010","BE","BE",2020,32,2020-08-09,"L","Tarsalis","culex",96,"vdci"
"LC010|Pipiens|2020|33","LC-010","BE","BE",2020,33,2020-08-16,"L","Pipiens","culex",5,"vdci"
"LC010|Tarsalis|2020|33","LC-010","BE","BE",2020,33,2020-08-16,"L","Tarsalis","culex",44,"vdci"
"LC010|Pipiens|2020|34","LC-010","BE","BE",2020,34,2020-08-23,"L","Pipiens","culex",10,"vdci"
"LC010|Tarsalis|2020|34","LC-010","BE","BE",2020,34,2020-08-23,"L","Tarsalis","culex",32,"vdci"
"LC010|Pipiens|2021|22","LC-010","BE","BE",2021,22,2021-06-06,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2021|22","LC-010","BE","BE",2021,22,2021-06-06,"L","Tarsalis","culex",6,"vdci"
"LC010|Pipiens|2021|23","LC-010","BE","BE",2021,23,2021-06-13,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2021|23","LC-010","BE","BE",2021,23,2021-06-13,"L","Tarsalis","culex",9,"vdci"
"LC010|Pipiens|2021|24","LC-010","BE","BE",2021,24,2021-06-20,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2021|24","LC-010","BE","BE",2021,24,2021-06-20,"L","Tarsalis","culex",9,"vdci"
"LC010|Pipiens|2021|25","LC-010","BE","BE",2021,25,2021-06-27,"L","Pipiens","culex",2,"vdci"
"LC010|Tarsalis|2021|25","LC-010","BE","BE",2021,25,2021-06-27,"L","Tarsalis","culex",22,"vdci"
"LC010|Pipiens|2021|26","LC-010","BE","BE",2021,26,2021-07-04,"L","Pipiens","culex",7,"vdci"
"LC010|Tarsalis|2021|26","LC-010","BE","BE",2021,26,2021-07-04,"L","Tarsalis","culex",230,"vdci"
"LC010|Pipiens|2021|27","LC-010","BE","BE",2021,27,2021-07-11,"L","Pipiens","culex",20,"vdci"
"LC010|Tarsalis|2021|27","LC-010","BE","BE",2021,27,2021-07-11,"L","Tarsalis","culex",232,"vdci"
"LC010|Pipiens|2021|29","LC-010","BE","BE",2021,29,2021-07-25,"L","Pipiens","culex",12,"vdci"
"LC010|Tarsalis|2021|29","LC-010","BE","BE",2021,29,2021-07-25,"L","Tarsalis","culex",356,"vdci"
"LC010|Pipiens|2021|30","LC-010","BE","BE",2021,30,2021-08-01,"L","Pipiens","culex",28,"vdci"
"LC010|Tarsalis|2021|30","LC-010","BE","BE",2021,30,2021-08-01,"L","Tarsalis","culex",228,"vdci"
"LC010|Pipiens|2021|31","LC-010","BE","BE",2021,31,2021-08-08,"L","Pipiens","culex",44,"vdci"
"LC010|Tarsalis|2021|31","LC-010","BE","BE",2021,31,2021-08-08,"L","Tarsalis","culex",148,"vdci"
"LC010|Pipiens|2021|32","LC-010","BE","BE",2021,32,2021-08-15,"L","Pipiens","culex",11,"vdci"
"LC010|Tarsalis|2021|32","LC-010","BE","BE",2021,32,2021-08-15,"L","Tarsalis","culex",61,"vdci"
"LC010|Pipiens|2021|33","LC-010","BE","BE",2021,33,2021-08-22,"L","Pipiens","culex",6,"vdci"
"LC010|Tarsalis|2021|33","LC-010","BE","BE",2021,33,2021-08-22,"L","Tarsalis","culex",37,"vdci"
"LC010|Pipiens|2021|34","LC-010","BE","BE",2021,34,2021-08-29,"L","Pipiens","culex",12,"vdci"
"LC010|Tarsalis|2021|34","LC-010","BE","BE",2021,34,2021-08-29,"L","Tarsalis","culex",41,"vdci"
"LC010|Pipiens|2022|23","LC-010","BE","BE",2022,23,2022-06-12,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2022|23","LC-010","BE","BE",2022,23,2022-06-12,"L","Tarsalis","culex",6,"vdci"
"LC010|Pipiens|2022|24","LC-010","BE","BE",2022,24,2022-06-19,"L","Pipiens","culex",2,"vdci"
"LC010|Tarsalis|2022|24","LC-010","BE","BE",2022,24,2022-06-19,"L","Tarsalis","culex",50,"vdci"
"LC010|Pipiens|2022|25","LC-010","BE","BE",2022,25,2022-06-26,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2022|25","LC-010","BE","BE",2022,25,2022-06-26,"L","Tarsalis","culex",22,"vdci"
"LC010|Pipiens|2022|26","LC-010","BE","BE",2022,26,2022-07-03,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2022|26","LC-010","BE","BE",2022,26,2022-07-03,"L","Tarsalis","culex",72,"vdci"
"LC010|Pipiens|2022|27","LC-010","BE","BE",2022,27,2022-07-10,"L","Pipiens","culex",2,"vdci"
"LC010|Tarsalis|2022|27","LC-010","BE","BE",2022,27,2022-07-10,"L","Tarsalis","culex",100,"vdci"
"LC010|Pipiens|2022|28","LC-010","BE","BE",2022,28,2022-07-17,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2022|28","LC-010","BE","BE",2022,28,2022-07-17,"L","Tarsalis","culex",50,"vdci"
"LC010|Pipiens|2022|29","LC-010","BE","BE",2022,29,2022-07-24,"L","Pipiens","culex",1,"vdci"
"LC010|Tarsalis|2022|29","LC-010","BE","BE",2022,29,2022-07-24,"L","Tarsalis","culex",16,"vdci"
"LC010|Pipiens|2022|30","LC-010","BE","BE",2022,30,2022-07-31,"L","Pipiens","culex",4,"vdci"
"LC010|Tarsalis|2022|30","LC-010","BE","BE",2022,30,2022-07-31,"L","Tarsalis","culex",316,"vdci"
"LC010|Pipiens|2022|31","LC-010","BE","BE",2022,31,2022-08-07,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2022|31","LC-010","BE","BE",2022,31,2022-08-07,"L","Tarsalis","culex",84,"vdci"
"LC010|Pipiens|2022|32","LC-010","BE","BE",2022,32,2022-08-14,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2022|32","LC-010","BE","BE",2022,32,2022-08-14,"L","Tarsalis","culex",312,"vdci"
"LC010|Pipiens|2022|33","LC-010","BE","BE",2022,33,2022-08-21,"L","Pipiens","culex",18,"vdci"
"LC010|Tarsalis|2022|33","LC-010","BE","BE",2022,33,2022-08-21,"L","Tarsalis","culex",38,"vdci"
"LC010|Pipiens|2022|34","LC-010","BE","BE",2022,34,2022-08-28,"L","Pipiens","culex",3,"vdci"
"LC010|Tarsalis|2022|34","LC-010","BE","BE",2022,34,2022-08-28,"L","Tarsalis","culex",21,"vdci"
"LC010|Pipiens|2023|23","LC-010","BE","BE",2023,23,2023-06-11,"L","Pipiens","culex",3,"vdci"
"LC010|Tarsalis|2023|23","LC-010","BE","BE",2023,23,2023-06-11,"L","Tarsalis","culex",1,"vdci"
"LC010|Pipiens|2023|24","LC-010","BE","BE",2023,24,2023-06-18,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2023|24","LC-010","BE","BE",2023,24,2023-06-18,"L","Tarsalis","culex",32,"vdci"
"LC010|Pipiens|2023|25","LC-010","BE","BE",2023,25,2023-06-25,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2023|25","LC-010","BE","BE",2023,25,2023-06-25,"L","Tarsalis","culex",84,"vdci"
"LC010|Pipiens|2023|27","LC-010","BE","BE",2023,27,2023-07-09,"L","Pipiens","culex",20,"vdci"
"LC010|Tarsalis|2023|27","LC-010","BE","BE",2023,27,2023-07-09,"L","Tarsalis","culex",300,"vdci"
"LC010|Pipiens|2023|29","LC-010","BE","BE",2023,29,2023-07-17,"L","Pipiens","culex",0,"vdci"
"LC010|Tarsalis|2023|29","LC-010","BE","BE",2023,29,2023-07-17,"L","Tarsalis","culex",1120,"vdci"
