"csu_id","trap_id","year","week","trap_date","county","method","spp","total","test_code","cq","copies_WNV","seq","zone","note"
"CSU6119","LV-020",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6120","LV-020",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6121","LV-020",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6122","LV-020",2014,30,"2014-07-23","LC","L","Tarsalis",29,0,NA,NA,NA,"LV",NA
"CSU00000","LV-020",2014,30,"2014-07-23","LC","L","Pipiens",0,NA,NA,NA,NA,"LV",NA
"CSU5946","LV-069",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU5947","LV-069",2014,30,"2014-07-21","LC","L","Tarsalis",31,0,NA,NA,NA,"LV",NA
"CSU5948","LV-069",2014,30,"2014-07-21","LC","L","Pipiens",6,0,NA,NA,NA,"LV",NA
"CSU6126","LV-087",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6127","LV-087",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6128","LV-087",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6129","LV-087",2014,30,"2014-07-23","LC","L","Tarsalis",45,0,NA,NA,NA,"LV",NA
"CSU6130","LV-087",2014,30,"2014-07-23","LC","L","Pipiens",12,0,NA,NA,NA,"LV",NA
"CSU6014","LV-089",2014,30,"2014-07-22","LC","L","Tarsalis",4,0,NA,NA,NA,"LV",NA
"CSU00000","LV-089",2014,30,"2014-07-22","LC","L","Pipiens",0,NA,NA,NA,NA,"LV",NA
"CSU5933","LV-095",2014,30,"2014-07-21","LC","L","Tarsalis",20,0,NA,NA,NA,"LV",NA
"CSU00000","LV-095",2014,30,"2014-07-21","LC","L","Pipiens",0,NA,NA,NA,NA,"LV",NA
"CSU6033","LV-104",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6034","LV-104",2014,30,"2014-07-22","LC","L","Tarsalis",50,1,NA,NA,NA,"LV",NA
