"","trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total.x","total.y","total","check"
"1","FC-090GR","NW","FC",2024-07-24,2024,30,"Pipiens","Culex pipiens","G","culex",89,88,89,TRUE
"2","FC-006","NE","FC",2024-06-09,2024,23,"Tarsalis","Culex tarsalis","L","culex",1,0,1,TRUE
"3","FC-019","NE","FC",2024-06-09,2024,23,"Tarsalis","Culex tarsalis","L","culex",4,2,4,TRUE
"4","FC-034","NE","FC",2024-06-09,2024,23,"Tarsalis","Culex tarsalis","L","culex",1,2,1,TRUE
"5","FC-036","NW","FC",2024-06-09,2024,23,"Tarsalis","Culex tarsalis","L","culex",2,4,2,TRUE
"6","FC-038","NE","FC",2024-06-09,2024,23,"Tarsalis","Culex tarsalis","L","culex",1,12,1,TRUE
"7","FC-040GR","NE","FC",2024-06-09,2024,23,"Pipiens","Culex pipiens","G","culex",2,3,2,TRUE
"8","FC-066","NE","FC",2024-06-09,2024,23,"Tarsalis","Culex tarsalis","L","culex",9,3,9,TRUE
"9","FC-069","NE","FC",2024-06-09,2024,23,"Tarsalis","Culex tarsalis","L","culex",2,0,2,TRUE
"10","FC-091GR","NE","FC",2024-06-09,2024,23,"Pipiens","Culex pipiens","G","culex",1,0,1,TRUE
"11","FC-092GR","NE","FC",2024-06-09,2024,23,"Pipiens","Culex pipiens","G","culex",6,4,6,TRUE
"12","FC-006","NE","FC",2023-08-27,2023,34,"Tarsalis","Culex tarsalis","L","culex",3,2,3,TRUE
"13","FC-014","NE","FC",2023-08-27,2023,34,"Tarsalis","Culex tarsalis","L","culex",3,64,3,TRUE
"14","FC-014","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","L","culex",22,50,22,TRUE
"15","FC-019","NE","FC",2023-08-27,2023,34,"Tarsalis","Culex tarsalis","L","culex",7,4,7,TRUE
"16","FC-019","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","L","culex",26,1,26,TRUE
"17","FC-034","NE","FC",2023-08-27,2023,34,"Tarsalis","Culex tarsalis","L","culex",3,14,3,TRUE
"18","FC-036","NW","FC",2023-08-27,2023,34,"Tarsalis","Culex tarsalis","L","culex",14,10,14,TRUE
"19","FC-036","NW","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","L","culex",16,3,16,TRUE
"20","FC-038","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","L","culex",10,2,10,TRUE
"21","FC-040","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","L","culex",7,6,7,TRUE
"22","FC-040GR","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","G","culex",54,20,54,TRUE
"23","FC-066","NE","FC",2023-08-27,2023,34,"Tarsalis","Culex tarsalis","L","culex",5,7,5,TRUE
"24","FC-066","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","L","culex",77,5,77,TRUE
"25","FC-066GR","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","G","culex",15,4,15,TRUE
"26","FC-067","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","L","culex",4,0,4,TRUE
"27","FC-067","NE","FC",2023-08-27,2023,34,"Tarsalis","Culex tarsalis","L","culex",3,2,3,TRUE
"28","FC-069","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","L","culex",1,0,1,TRUE
"29","FC-069","NE","FC",2023-08-27,2023,34,"Tarsalis","Culex tarsalis","L","culex",3,14,3,TRUE
"30","FC-072","NE","FC",2023-08-27,2023,34,"Tarsalis","Culex tarsalis","L","culex",29,13,29,TRUE
"31","FC-072","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","L","culex",16,1,16,TRUE
"32","FC-091GR","NE","FC",2023-08-27,2023,34,"Tarsalis","Culex tarsalis","G","culex",1,0,1,TRUE
"33","FC-091GR","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","G","culex",20,26,20,TRUE
"34","FC-092GR","NE","FC",2023-08-27,2023,34,"Pipiens","Culex pipiens","G","culex",4,7,4,TRUE
