"csu_id","trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total","test_code","cq","copies","seq","notes"
"CSU22178","LC-001","BE","BE",2024-07-10,2024,28,"Pipiens","Pipiens","L","culex",7,0,55.55,0,NA,NA
"CDC067","LC-062","BE","BE",2024-07-10,2024,28,"Pipiens","Pipiens","L","culex",2,1,26.48,5169.19,NA,NA
"CSU22315","LC-001","BE","BE",2024-07-17,2024,29,"Pipiens","Pipiens","L","culex",31,0,55.55,0,NA,NA
"CSU22314","LC-001","BE","BE",2024-07-17,2024,29,"Tarsalis","Tarsalis","L","culex",38,0,55.55,0,NA,NA
"CSU22311","LC-001","BE","BE",2024-07-17,2024,29,"Tarsalis","Tarsalis","L","culex",50,0,55.55,0,NA,NA
"CDC081","LC-058","BE","BE",2024-07-17,2024,29,"Tarsalis","Tarsalis","L","culex",50,1,26.48,4298.6,NA,NA
"CDC087","LC-061","BE","BE",2024-07-17,2024,29,"Tarsalis","Tarsalis","L","culex",6,1,19.47,698402.31,NA,NA
"CDC099","LC-061","BE","BE",2024-07-17,2024,29,"Tarsalis","Tarsalis","L","culex",2,1,21.46,164433.48,NA,NA
"CSU22299","LV-020","LV","LV",2024-07-17,2024,29,"Tarsalis","Tarsalis","L","culex",42,0,55.55,0,NA,NA
"CSU22252","LV-089","LV","LV",2024-07-16,2024,29,"Tarsalis","Tarsalis","L","culex",32,1,22.01,68420.59,NA,NA
"CSU22226","FC-006","NE","FC",2024-07-15,2024,29,"Pipiens","Pipiens","L","culex",7,0,55.55,0,NA,NA
"CSU22225","FC-006","NE","FC",2024-07-15,2024,29,"Tarsalis","Tarsalis","L","culex",12,0,55.55,0,NA,NA
"CSU22238","FC-019","NE","FC",2024-07-15,2024,29,"Tarsalis","Tarsalis","L","culex",29,1,19.47,414704.81,NA,NA
"CSU22223","FC-038","NE","FC",2024-07-15,2024,29,"Tarsalis","Tarsalis","L","culex",42,1,27.89,1055.59,NA,NA
"CSU22268","FC-004","SE","FC",2024-07-16,2024,29,"Pipiens","Pipiens","L","culex",17,0,55.55,0,NA,NA
"CSU22263","FC-053","SE","FC",2024-07-16,2024,29,"Tarsalis","Tarsalis","L","culex",50,1,21.86,76118.34,NA,NA
"BOU00228","BC-13","BC","BC",2024-07-22,2024,30,"Tarsalis","Tarsalis","L","culex",49,0,55.55,0,NA,NA
"BOU00229","BC-14","BC","BC",2024-07-22,2024,30,"Tarsalis","Tarsalis","L","culex",49,1,27.51,1267.69,NA,NA
"CSU22417","LC-001","BE","BE",2024-07-24,2024,30,"Pipiens","Pipiens","L","culex",11,0,55.55,0,NA,NA
"CDC119","LC-058","BE","BE",2024-07-24,2024,30,"Tarsalis","Tarsalis","L","culex",50,1,20.04,257776.06,NA,NA
"CSU22378","FC-004","SE","FC",2024-07-23,2024,30,"Pipiens","Pipiens","L","culex",33,0,55.55,0,NA,NA
"CSU22377","FC-004","SE","FC",2024-07-23,2024,30,"Tarsalis","Tarsalis","L","culex",44,0,55.55,0,NA,NA
"CSU22393","FC-047","SE","FC",2024-07-23,2024,30,"Pipiens","Pipiens","L","culex",13,1,23.99,23691.2,NA,NA
"CSU22372","FC-064","SE","FC",2024-07-23,2024,30,"Tarsalis","Tarsalis","L","culex",11,1,19.88,478255.72,NA,NA
"CSU22546","LC-001","BE","BE",2024-07-31,2024,31,"Pipiens","Pipiens","L","culex",8,0,55.55,0,NA,NA
"CSU22544","LC-001","BE","BE",2024-07-31,2024,31,"Tarsalis","Tarsalis","L","culex",50,1,25.23,7099.82,NA,NA
"CSU22545","LC-001","BE","BE",2024-07-31,2024,31,"Tarsalis","Tarsalis","L","culex",47,0,55.55,0,NA,NA
"CSU22543","LC-001","BE","BE",2024-07-31,2024,31,"Tarsalis","Tarsalis","L","culex",50,0,55.55,0,NA,NA
"CSU22528","LC-049","BE","BE",2024-07-31,2024,31,"Tarsalis","Tarsalis","L","culex",17,0,55.55,0,NA,NA
"CSU22527","LC-049","BE","BE",2024-07-31,2024,31,"Tarsalis","Tarsalis","L","culex",50,0,55.55,0,NA,NA
"CSU22523","LC-053","BE","BE",2024-07-31,2024,31,"Tarsalis","Tarsalis","L","culex",42,0,55.55,0,NA,NA
"CDC141","LC-058","BE","BE",2024-07-31,2024,31,"Tarsalis","Tarsalis","L","culex",50,1,20.05,266209.81,NA,NA
"CDC146","LC-059","BE","BE",2024-07-31,2024,31,"Pipiens","Pipiens","L","culex",50,1,28.18,900.69,NA,NA
"CDC137","LC-059","BE","BE",2024-07-31,2024,31,"Tarsalis","Tarsalis","L","culex",50,1,25.76,4899.76,NA,NA
"CDC150","LC-059","BE","BE",2024-07-31,2024,31,"Tarsalis","Tarsalis","L","culex",32,1,21.02,135401.08,NA,NA
"CDC130","LC-062","BE","BE",2024-07-31,2024,31,"Tarsalis","Tarsalis","L","culex",48,1,23.01,33668.75,NA,NA
"CSU22519","LV-020","LV","LV",2024-07-31,2024,31,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU22447","LV-069","LV","LV",2024-07-29,2024,31,"Tarsalis","Tarsalis","L","culex",5,1,23.49,39063.41,NA,NA
"CSU22459","FC-006","NE","FC",2024-07-29,2024,31,"Tarsalis","Tarsalis","L","culex",1,0,55.55,0,NA,NA
"CSU22475","FC-066","NE","FC",2024-07-29,2024,31,"Tarsalis","Tarsalis","L","culex",50,1,24.79,15958.28,NA,NA
"CSU22493","FC-004","SE","FC",2024-07-30,2024,31,"Pipiens","Pipiens","L","culex",13,0,55.55,0,NA,NA
"CSU22492","FC-004","SE","FC",2024-07-30,2024,31,"Tarsalis","Tarsalis","L","culex",43,0,55.55,0,NA,NA
"CSU22501","FC-023","SE","FC",2024-07-30,2024,31,"Pipiens","Pipiens","L","culex",5,0,55.55,0,NA,NA
"CSU22483","FC-039","SE","FC",2024-07-30,2024,31,"Tarsalis","Tarsalis","L","culex",21,1,23.91,29281.97,NA,NA
"CSU22488","FC-064","SE","FC",2024-07-30,2024,31,"Tarsalis","Tarsalis","L","culex",34,1,27.27,2877.68,NA,NA
"CSU22494","FC-074","SE","FC",2024-07-30,2024,31,"Tarsalis","Tarsalis","L","culex",50,1,24.9,14705.29,NA,NA
"BOU00236","BC-04","BC","BC",2024-08-05,2024,32,"Tarsalis","Tarsalis","L","culex",35,0,55.55,0,NA,NA
"BOU00239","BC-13","BC","BC",2024-08-05,2024,32,"Tarsalis","Tarsalis","L","culex",49,1,23.61,24619.88,NA,NA
"CSU22650","LC-001","BE","BE",2024-08-07,2024,32,"Pipiens","Pipiens","L","culex",20,0,55.55,0,NA,NA
"CSU22649","LC-001","BE","BE",2024-08-07,2024,32,"Tarsalis","Tarsalis","L","culex",5,0,37.74,1.58,NA,NA
"CDC165","LC-059","BE","BE",2024-08-07,2024,32,"Pipiens","Pipiens","L","culex",43,1,25.41,6923.18,NA,NA
"CDC168","LC-059","BE","BE",2024-08-07,2024,32,"Tarsalis","Tarsalis","L","culex",50,1,25.19,8097,NA,NA
"CSU22643","LV-020","LV","LV",2024-08-07,2024,32,"Pipiens","Pipiens","L","culex",3,0,55.55,0,NA,NA
"CSU22641","LV-020","LV","LV",2024-08-07,2024,32,"Tarsalis","Tarsalis","L","culex",50,1,22.43,80334.79,NA,NA
"CSU22642","LV-020","LV","LV",2024-08-07,2024,32,"Tarsalis","Tarsalis","L","culex",21,0,32.55,62.1,NA,NA
"CSU22603","LV-089","LV","LV",2024-08-06,2024,32,"Tarsalis","Tarsalis","L","culex",38,1,19.94,467862.5,NA,NA
