"","trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total"
"1","FC-001","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",14
"2","FC-001","SW","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",3
"3","FC-001","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"4","FC-001","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",14
"5","FC-001","SW","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",3
"6","FC-001","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"7","FC-004","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",20
"8","FC-004","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",5
"9","FC-004","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"10","FC-004","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",20
"11","FC-004","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",5
"12","FC-004","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"13","FC-023","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"14","FC-023","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"15","FC-023","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",23
"16","FC-023","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"17","FC-023","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"18","FC-023","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"19","FC-023","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",23
"20","FC-023","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"21","FC-027","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",41
"22","FC-027","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",18
"23","FC-027","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"24","FC-027","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",41
"25","FC-027","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",18
"26","FC-027","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"27","FC-029","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",2
"28","FC-029","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",6
"29","FC-029","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",1
"30","FC-029","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",2
"31","FC-029","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",6
"32","FC-029","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",1
"33","FC-029GR","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","G","culex",16
"34","FC-029GR","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","G","culex",16
"35","FC-031","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",1
"36","FC-031","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"37","FC-031","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",10
"38","FC-031","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",4
"39","FC-031","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",1
"40","FC-031","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"41","FC-031","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",10
"42","FC-031","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",4
"43","FC-037","SW","FC",2025-09-04,2025,36,"non culex","Culiseta inornata","L","culex",1
"44","FC-037","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",52
"45","FC-037","SW","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",25
"46","FC-037","SW","FC",2025-09-04,2025,36,"non culex","Culiseta inornata","L","culex",1
"47","FC-037","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",52
"48","FC-037","SW","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",25
"49","FC-039","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",8
"50","FC-039","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",7
"51","FC-039","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",7
"52","FC-039","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",8
"53","FC-039","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",7
"54","FC-039","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",7
"55","FC-046","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",7
"56","FC-046","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",24
"57","FC-046","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",3
"58","FC-046","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",7
"59","FC-046","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",24
"60","FC-046","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",3
"61","FC-047","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",8
"62","FC-047","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",8
"63","FC-050","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",5
"64","FC-050","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",1
"65","FC-050","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",4
"66","FC-050","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",5
"67","FC-050","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",1
"68","FC-050","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",4
"69","FC-053","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",4
"70","FC-053","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"71","FC-053","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",4
"72","FC-053","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"73","FC-054","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",11
"74","FC-054","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",7
"75","FC-054","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"76","FC-054","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",11
"77","FC-054","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",7
"78","FC-054","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"79","FC-057","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",4
"80","FC-057","SW","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"81","FC-057","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"82","FC-057","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",4
"83","FC-057","SW","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"84","FC-057","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"85","FC-059","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",1
"86","FC-059","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",2
"87","FC-059","SE","FC",2025-09-04,2025,36,"non culex","Culiseta inornata","L","culex",1
"88","FC-059","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",10
"89","FC-059","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",1
"90","FC-059","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",2
"91","FC-059","SE","FC",2025-09-04,2025,36,"non culex","Culiseta inornata","L","culex",1
"92","FC-059","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",10
"93","FC-062","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",5
"94","FC-062","SW","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"95","FC-062","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",4
"96","FC-062","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",5
"97","FC-062","SW","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"98","FC-062","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",4
"99","FC-064","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",13
"100","FC-064","SE","FC",2025-09-04,2025,36,"non culex","Culiseta inornata","L","culex",2
"101","FC-064","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",3
"102","FC-064","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",3
"103","FC-064","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",13
"104","FC-064","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",13
"105","FC-064","SE","FC",2025-09-04,2025,36,"non culex","Culiseta inornata","L","culex",2
"106","FC-064","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",3
"107","FC-064","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",3
"108","FC-064","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",13
"109","FC-068","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",3
"110","FC-068","SW","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"111","FC-068","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",3
"112","FC-068","SW","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"113","FC-071","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",3
"114","FC-071","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",4
"115","FC-071","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",3
"116","FC-071","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",4
"117","FC-074","SE","FC",2025-09-04,2025,36,"non culex","Culiseta inornata","L","culex",1
"118","FC-074","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",4
"119","FC-074","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",15
"120","FC-074","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",3
"121","FC-074","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",25
"122","FC-074","SE","FC",2025-09-04,2025,36,"non culex","Culiseta inornata","L","culex",1
"123","FC-074","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",4
"124","FC-074","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",15
"125","FC-074","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",3
"126","FC-074","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",25
"127","FC-075","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",3
"128","FC-075","SE","FC",2025-09-04,2025,36,"non culex","Culiseta inornata","L","culex",1
"129","FC-075","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"130","FC-075","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",11
"131","FC-075","SE","FC",2025-09-04,2025,36,"non culex","Aedes melanimon","L","culex",1
"132","FC-075","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",3
"133","FC-075","SE","FC",2025-09-04,2025,36,"non culex","Culiseta inornata","L","culex",1
"134","FC-075","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"135","FC-075","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",11
"136","FC-075","SE","FC",2025-09-04,2025,36,"non culex","Aedes melanimon","L","culex",1
"137","FC-075GR","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","G","culex",17
"138","FC-075GR","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","G","culex",17
"139","FC-088GR","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","G","culex",38
"140","FC-088GR","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","G","culex",1
"141","FC-088GR","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","G","culex",38
"142","FC-088GR","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","G","culex",1
"143","FC-089GR","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","G","culex",3
"144","FC-089GR","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","G","culex",3
"145","FC-093","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",1
"146","FC-093","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",2
"147","FC-093","SW","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",1
"148","FC-093","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",1
"149","FC-093","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",2
"150","FC-093","SW","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",1
"151","FC-006","NE","FC",2025-09-03,2025,36,"Tarsalis","Culex tarsalis","L","culex",1
"152","FC-006","NE","FC",2025-09-03,2025,36,"Pipiens","Culex pipiens","L","culex",5
"153","FC-006","NE","FC",2025-09-03,2025,36,"Tarsalis","Culex tarsalis","L","culex",1
"154","FC-006","NE","FC",2025-09-03,2025,36,"Pipiens","Culex pipiens","L","culex",5
"155","FC-011","NW","FC",2025-09-03,2025,36,"non culex","Aedes vexans","L","culex",6
"156","FC-011","NW","FC",2025-09-03,2025,36,"Tarsalis","Culex tarsalis","L","culex",1
"157","FC-011","NW","FC",2025-09-03,2025,36,"non culex","Aedes vexans","L","culex",6
"158","FC-011","NW","FC",2025-09-03,2025,36,"Tarsalis","Culex tarsalis","L","culex",1
"159","FC-014","NE","FC",2025-09-03,2025,36,"non culex","Anopheles freeborni","L","culex",1
"160","FC-014","NE","FC",2025-09-03,2025,36,"Pipiens","Culex pipiens","L","culex",67
"161","FC-014","NE","FC",2025-09-03,2025,36,"non culex","Aedes vexans","L","culex",2
"162","FC-014","NE","FC",2025-09-03,2025,36,"non culex","Aedes dorsalis","L","culex",3
"163","FC-014","NE","FC",2025-09-03,2025,36,"Tarsalis","Culex tarsalis","L","culex",6
"164","FC-014","NE","FC",2025-09-03,2025,36,"non culex","Anopheles freeborni","L","culex",1
"165","FC-014","NE","FC",2025-09-03,2025,36,"Pipiens","Culex pipiens","L","culex",67
"166","FC-014","NE","FC",2025-09-03,2025,36,"non culex","Aedes vexans","L","culex",2
"167","FC-014","NE","FC",2025-09-03,2025,36,"non culex","Aedes dorsalis","L","culex",3
"168","FC-014","NE","FC",2025-09-03,2025,36,"Tarsalis","Culex tarsalis","L","culex",6
"169","FC-015","NW","FC",2025-09-03,2025,36,"non culex","Aedes vexans","L","culex",1
"170","FC-015","NW","FC",2025-09-03,2025,36,"Tarsalis","Culex tarsalis","L","culex",13
"171","FC-015","NW","FC",2025-09-03,2025,36,"Pipiens","Culex pipiens","L","culex",10
"172","FC-015","NW","FC",2025-09-03,2025,36,"non culex","Aedes hendersoni","L","culex",1
"173","FC-015","NW","FC",2025-09-03,2025,36,"non culex","Aedes vexans","L","culex",1
"174","FC-015","NW","FC",2025-09-03,2025,36,"Tarsalis","Culex tarsalis","L","culex",13
"175","FC-015","NW","FC",2025-09-03,2025,36,"Pipiens","Culex pipiens","L","culex",10
"176","FC-015","NW","FC",2025-09-03,2025,36,"non culex","Aedes hendersoni","L","culex",1
"177","FC-019","NE","FC",2025-09-03,2025,36,"non culex","Aedes vexans","L","culex",1
"178","FC-019","NE","FC",2025-09-03,2025,36,"Tarsalis","Culex tarsalis","L","culex",1
