"","trap_id","trap_date","year","week","zone","spp","method","total"
"1","BC-22",2024-07-01,2024,27,"BC","Tarsalis","L",49
"2","BC-26",2024-07-01,2024,27,"BC","Tarsalis","L",12
"3","BC-13",2024-07-01,2024,27,"BC","Tarsalis","L",10
"4","BC-14",2024-07-01,2024,27,"BC","Tarsalis","L",35
"5","BC-28",2024-07-01,2024,27,"BC","Tarsalis","L",17
"6","BC-04",2024-07-08,2024,28,"BC","Tarsalis","L",29
"7","BC-22",2024-07-08,2024,28,"BC","Tarsalis","L",49
"8","BC-26",2024-07-08,2024,28,"BC","Tarsalis","L",49
"9","BC-13",2024-07-08,2024,28,"BC","Tarsalis","L",49
"10","BC-14",2024-07-08,2024,28,"BC","Tarsalis","L",49
"11","BC-04",2024-08-12,2024,33,"BC","Tarsalis","L",25
"12","BC-07",2024-08-12,2024,33,"BC","Tarsalis","L",30
"13","BC-26",2024-08-12,2024,33,"BC","Tarsalis","L",49
"14","BC-13",2024-08-12,2024,33,"BC","Tarsalis","L",14
"15","BC-14",2024-08-12,2024,33,"BC","Tarsalis","L",18
"16","BC-22",2024-07-15,2024,29,"BC","Tarsalis","L",49
"17","BC-26",2024-07-15,2024,29,"BC","Tarsalis","L",49
"18","BC-13",2024-07-15,2024,29,"BC","Tarsalis","L",49
"19","BC-14",2024-07-15,2024,29,"BC","Tarsalis","L",49
"20","BC-28",2024-07-15,2024,29,"BC","Tarsalis","L",49
"21","BC-03",2024-08-19,2024,34,"BC","Tarsalis","L",13
"22","BC-04",2024-08-19,2024,34,"BC","Tarsalis","L",11
"23","BC-26",2024-08-19,2024,34,"BC","Tarsalis","L",10
"24","BC-13",2024-08-19,2024,34,"BC","Tarsalis","L",9
"25","BC-14",2024-08-19,2024,34,"BC","Tarsalis","L",10
"26","BC-22",2024-07-22,2024,30,"BC","Tarsalis","L",49
"27","BC-26",2024-07-22,2024,30,"BC","Tarsalis","L",49
"28","BC-13",2024-07-22,2024,30,"BC","Tarsalis","L",49
"29","BC-14",2024-07-22,2024,30,"BC","Tarsalis","L",49
"30","BC-28",2024-07-22,2024,30,"BC","Tarsalis","L",49
"31","BC-04",2024-06-24,2024,26,"BC","Tarsalis","L",15
"32","BC-11",2024-06-24,2024,26,"BC","Tarsalis","L",14
"33","BC-22",2024-06-24,2024,26,"BC","Tarsalis","L",12
"34","BC-13",2024-06-24,2024,26,"BC","Tarsalis","L",24
"35","BC-14",2024-06-24,2024,26,"BC","Tarsalis","L",35
"36","BC-04",2024-08-26,2024,35,"BC","Tarsalis","L",7
"37","BC-04",2024-08-26,2024,35,"BC","Pipiens","L",10
