"","trap_id","trap_date","spp","method","total","zone","year","week"
"1","LC-001",2024-06-19,"Tarsalis","L",1,"BE",2024,25
"2","LC-001",2024-06-19,"Pipiens","L",1,"BE",2024,25
"3","LC-049",2024-06-19,"Tarsalis","L",1,"BE",2024,25
"4","LC-054",2024-06-19,"Tarsalis","L",4,"BE",2024,25
"5","FC-006",2024-06-17,"Pipiens","L",2,"NE",2024,25
"6","FC-014",2024-06-17,"Tarsalis","L",8,"NE",2024,25
"7","FC-034",2024-06-17,"Tarsalis","L",13,"NE",2024,25
"8","FC-036",2024-06-17,"Pipiens","L",3,"NW",2024,25
"9","FC-036",2024-06-17,"Tarsalis","L",21,"NW",2024,25
"10","FC-038",2024-06-17,"Tarsalis","L",25,"NE",2024,25
"11","FC-040",2024-06-17,"Pipiens","L",2,"NE",2024,25
"12","FC-040",2024-06-17,"Tarsalis","L",12,"NE",2024,25
"13","FC-040GR",2024-06-17,"Pipiens","G",18,"NE",2024,25
"14","FC-066",2024-06-17,"Tarsalis","L",47,"NE",2024,25
"15","FC-066",2024-06-17,"Pipiens","L",8,"NE",2024,25
"16","FC-067",2024-06-17,"Pipiens","L",1,"NE",2024,25
"17","FC-067",2024-06-17,"Tarsalis","L",1,"NE",2024,25
"18","FC-069",2024-06-17,"Pipiens","L",1,"NE",2024,25
"19","FC-069",2024-06-17,"Tarsalis","L",6,"NE",2024,25
"20","FC-072",2024-06-17,"Tarsalis","L",8,"NE",2024,25
"21","FC-091GR",2024-06-17,"Pipiens","G",1,"NE",2024,25
"22","FC-092GR",2024-06-17,"Pipiens","G",4,"NE",2024,25
"23","FC-004",2024-06-18,"Tarsalis","L",7,"SE",2024,25
"24","FC-023",2024-06-18,"Tarsalis","L",1,"SE",2024,25
"25","FC-027",2024-06-18,"Pipiens","L",1,"SE",2024,25
"26","FC-027",2024-06-18,"Tarsalis","L",1,"SE",2024,25
"27","FC-031",2024-06-18,"Tarsalis","L",18,"SE",2024,25
"28","FC-039",2024-06-18,"Tarsalis","L",1,"SE",2024,25
"29","FC-046",2024-06-18,"Tarsalis","L",4,"SE",2024,25
"30","FC-047",2024-06-18,"Tarsalis","L",8,"SE",2024,25
"31","FC-050",2024-06-18,"Tarsalis","L",4,"SE",2024,25
"32","FC-053",2024-06-18,"Tarsalis","L",20,"SE",2024,25
"33","FC-059",2024-06-18,"Tarsalis","L",3,"SE",2024,25
"34","FC-064",2024-06-18,"Tarsalis","L",12,"SE",2024,25
"35","FC-074",2024-06-18,"Tarsalis","L",13,"SE",2024,25
"36","FC-075",2024-06-18,"Tarsalis","L",2,"SE",2024,25
"37","FC-075GR",2024-06-18,"Pipiens","G",8,"SE",2024,25
