"trap_id","year","week","spp","spp0","key","zone","zone2","trap_date","method","trap_status","total","source","tl_match"
"FC-006",2023,33,"Pipiens","Pipiens","FC006|Pipiens|2023|33","FC","FC",2023-08-13,"L","culex",2,"culex_sheet",TRUE
"FC-006",2023,33,"Tarsalis","Tarsalis","FC006|Tarsalis|2023|33","FC","FC",2023-08-13,"L","culex",0,"culex_sheet",TRUE
"FC-014",2020,29,"Pipiens","Pipiens","FC014|Pipiens|2020|29","FC","FC",2020-07-12,"L","culex",1,"culex_sheet",TRUE
"FC-014",2020,30,"Pipiens","Pipiens","FC014|Pipiens|2020|30","FC","FC",2020-07-19,"L","culex",6,"culex_sheet",TRUE
"FC-015",2019,33,"Pipiens","Pipiens","FC015|Pipiens|2019|33","FC","FC",2019-08-13,"L","culex",27,"culex_sheet",TRUE
"FC-015",2019,33,"Tarsalis","Tarsalis","FC015|Tarsalis|2019|33","FC","FC",2019-08-13,"L","culex",0,"culex_sheet",TRUE
"FC-029GR",2022,27,"Pipiens","Pipiens","FC029GR|Pipiens|2022|27","FC","FC",2022-07-06,"G","culex",34,"culex_sheet",TRUE
"FC-040GR",2022,26,"Pipiens","Pipiens","FC040GR|Pipiens|2022|26","FC","FC",2022-06-26,"G","culex",0,"culex_sheet",TRUE
"FC-040GR",2022,26,"Tarsalis","Tarsalis","FC040GR|Tarsalis|2022|26","FC","FC",2022-06-26,"G","culex",2,"culex_sheet",TRUE
"FC-040GR",2023,34,"Pipiens","Pipiens","FC040GR|Pipiens|2023|34","FC","FC",2023-08-21,"G","culex",0,"culex_sheet",TRUE
"FC-040GR",2023,34,"Tarsalis","Tarsalis","FC040GR|Tarsalis|2023|34","FC","FC",2023-08-21,"G","culex",20,"culex_sheet",TRUE
"FC-053",2022,26,"Pipiens","Pipiens","FC053|Pipiens|2022|26","FC","FC",2022-06-27,"L","culex",1,"culex_sheet",TRUE
"FC-053",2022,26,"Tarsalis","Tarsalis","FC053|Tarsalis|2022|26","FC","FC",2022-06-27,"L","culex",90,"culex_sheet",TRUE
"FC-063GR",2019,32,"Pipiens","Pipiens","FC063GR|Pipiens|2019|32","FC","FC",2019-08-06,"G","culex",0,"culex_sheet",TRUE
"FC-063GR",2019,32,"Tarsalis","Tarsalis","FC063GR|Tarsalis|2019|32","FC","FC",2019-08-06,"G","culex",80,"culex_sheet",TRUE
"FC-069",2023,27,"Pipiens","Pipiens","FC069|Pipiens|2023|27","FC","FC",2023-07-02,"L","culex",2,"culex_sheet",TRUE
"FC-069",2023,27,"Tarsalis","Tarsalis","FC069|Tarsalis|2023|27","FC","FC",2023-07-02,"L","culex",59,"culex_sheet",TRUE
"FC-073",2020,36,"Pipiens","Pipiens","FC073|Pipiens|2020|36","FC","FC",2020-09-01,"L","culex",29,"culex_sheet",TRUE
"FC-073",2020,36,"Tarsalis","Tarsalis","FC073|Tarsalis|2020|36","FC","FC",2020-09-01,"L","culex",0,"culex_sheet",TRUE
"FC-089GR",2022,28,"Pipiens","Pipiens","FC089GR|Pipiens|2022|28","FC","FC",2022-07-13,"G","culex",0,"culex_sheet",TRUE
"FC-089GR",2022,28,"Tarsalis","Tarsalis","FC089GR|Tarsalis|2022|28","FC","FC",2022-07-13,"G","culex",34,"culex_sheet",TRUE
"FC-090GR",2024,30,"Pipiens","Pipiens","FC090GR|Pipiens|2024|30","FC","FC",2024-07-24,"G","culex",89,"culex_sheet",TRUE
"LC-001",2023,26,"Tarsalis","Tarsalis","LC001|Tarsalis|2023|26","BE","BE",2023-06-27,"L","culex",370,"culex_sheet",TRUE
"LC-001",2023,27,"Tarsalis","Tarsalis","LC001|Tarsalis|2023|27","BE","BE",2023-07-03,"L","culex",1152,"culex_sheet",TRUE
"LC-001",2023,28,"Tarsalis","Tarsalis","LC001|Tarsalis|2023|28","BE","BE",2023-07-11,"L","culex",692,"culex_sheet",TRUE
"LC-001",2023,29,"Tarsalis","Tarsalis","LC001|Tarsalis|2023|29","BE","BE",2023-07-18,"L","culex",640,"culex_sheet",TRUE
"LC-001",2023,30,"Tarsalis","Tarsalis","LC001|Tarsalis|2023|30","BE","BE",2023-07-25,"L","culex",297,"culex_sheet",TRUE
"LC-049",2023,26,"Tarsalis","Tarsalis","LC049|Tarsalis|2023|26","BE","BE",2023-06-27,"L","culex",138,"culex_sheet",TRUE
