"year","week","zone","spp","abund","mosq","n_trap","mosq_G","mosq_L","n_pools","n_pos_pools","pir","pir_lci","pir_uci","pools_G","pools_L","pos_pools_G","pos_pools_L","trap_L","vi","vi_lci","vi_uci"
2014,30,"FC","All",158.57,8677,NA,273,8404,244,5,6e-04,2e-04,0.0016,10,234,0,5,106,0.1028,0.0294,0.2525
2014,30,"FC","Pipiens",11.72,890,NA,269,621,58,0,0,0,0.004,7,51,0,0,53,0,0,0.0469
2014,30,"FC","Tarsalis",146.85,7787,NA,4,7783,186,5,7e-04,2e-04,0.0014,3,183,0,5,53,0.1028,0.0294,0.2056
2014,30,"LV","All",131.2,1312,NA,0,1312,36,2,0.0015,3e-04,0.0069,0,36,0,2,20,0.2008,0.0376,0.9006
2014,30,"LV","Pipiens",5.7,57,NA,0,57,6,0,0,0,0.0391,0,6,0,0,10,0,0,0.2229
2014,30,"LV","Tarsalis",125.5,1255,NA,0,1255,30,2,0.0016,3e-04,0.0054,0,30,0,2,10,0.2008,0.0376,0.6777
2014,30,"NE","All",238.5,2394,NA,9,2385,63,0,0,0,0.0028,2,61,0,0,20,0,0,0.67
2014,30,"NE","Pipiens",18.9,196,NA,7,189,14,0,0,0,0.0157,1,13,0,0,10,0,0,0.2967
2014,30,"NE","Tarsalis",219.6,2198,NA,2,2196,49,0,0,0,0.0017,1,48,0,0,10,0,0,0.3733
2014,30,"NW","All",98.67,955,NA,67,888,33,0,0,0,0.0054,2,31,0,0,18,0,0,0.5375
2014,30,"NW","Pipiens",7.11,131,NA,67,64,11,0,0,0,0.0215,2,9,0,0,9,0,0,0.1529
2014,30,"NW","Tarsalis",91.56,824,NA,0,824,22,0,0,0,0.0042,0,22,0,0,9,0,0,0.3846
2014,30,"SE","All",224.26,3459,NA,95,3364,90,3,9e-04,3e-04,0.0032,3,87,0,3,30,0.2051,0.0615,0.7184
2014,30,"SE","Pipiens",19.13,381,NA,94,287,19,0,0,0,0.0086,2,17,0,0,15,0,0,0.1645
2014,30,"SE","Tarsalis",205.13,3078,NA,1,3077,71,3,0.001,3e-04,0.0027,1,70,0,3,15,0.2051,0.0615,0.5539
2014,30,"SW","All",50.56,557,NA,102,455,22,0,0,0,0.0082,3,19,0,0,18,0,0,0.4121
2014,30,"SW","Pipiens",2.67,125,NA,101,24,8,0,0,0,0.0198,2,6,0,0,9,0,0,0.0529
2014,30,"SW","Tarsalis",47.89,432,NA,1,431,14,0,0,0,0.0075,1,13,0,0,9,0,0,0.3592
2015,24,"FC","All",7.32,500,NA,141,359,69,0,0,0,0.0112,12,57,0,0,98,0,0,0.082
2015,24,"FC","Pipiens",0.71,176,NA,141,35,30,0,0,0,0.0178,12,18,0,0,49,0,0,0.0126
2015,24,"FC","Tarsalis",6.61,324,NA,0,324,39,0,0,0,0.0105,0,39,0,0,49,0,0,0.0694
2015,24,"LV","All",11.33,68,NA,0,68,6,0,0,0,0.034,0,6,0,0,6,0,0,0.3852
2015,24,"LV","Tarsalis",11.33,68,NA,0,68,6,0,0,0,0.034,0,6,0,0,6,0,0,0.3852
2015,24,"NE","All",13.1,147,NA,16,131,18,0,0,0,0.0291,4,14,0,0,20,0,0,0.3818
2015,24,"NE","Pipiens",1,26,NA,16,10,10,0,0,0,0.1132,4,6,0,0,10,0,0,0.1132
2015,24,"NE","Tarsalis",12.1,121,NA,0,121,8,0,0,0,0.0222,0,8,0,0,10,0,0,0.2686
2015,24,"NW","All",3,31,NA,4,27,11,0,0,0,0.1394,2,9,0,0,18,0,0,0.4181
2015,24,"NW","Pipiens",0.89,12,NA,4,8,5,0,0,0,0.2069,2,3,0,0,9,0,0,0.1841
2015,24,"NW","Tarsalis",2.11,19,NA,0,19,6,0,0,0,0.1109,0,6,0,0,9,0,0,0.234
2015,24,"SE","All",5.53,196,NA,113,83,21,0,0,0,0.0359,5,16,0,0,30,0,0,0.1988
2015,24,"SE","Pipiens",0.33,118,NA,113,5,9,0,0,0,0.0225,5,4,0,0,15,0,0,0.0074
2015,24,"SE","Tarsalis",5.2,78,NA,0,78,12,0,0,0,0.0368,0,12,0,0,15,0,0,0.1914
2015,24,"SW","All",5.55,58,NA,8,50,13,0,0,0,0.0851,1,12,0,0,18,0,0,0.4725
2015,24,"SW","Pipiens",1.33,20,NA,8,12,6,0,0,0,0.1233,1,5,0,0,9,0,0,0.164
2015,24,"SW","Tarsalis",4.22,38,NA,0,38,7,0,0,0,0.0731,0,7,0,0,9,0,0,0.3085
2015,25,"FC","All",71.68,3660,NA,148,3512,130,0,0,0,0.0014,13,117,0,0,98,0,0,0.0979
2015,25,"FC","Pipiens",1.33,211,NA,146,65,31,0,0,0,0.0154,11,20,0,0,49,0,0,0.0205
2015,25,"FC","Tarsalis",70.35,3449,NA,2,3447,99,0,0,0,0.0011,2,97,0,0,49,0,0,0.0774
2015,25,"LV","All",247,1482,NA,0,1482,33,0,0,0,0.0024,0,33,0,0,6,0,0,0.5928
2015,25,"LV","Tarsalis",247,1482,NA,0,1482,33,0,0,0,0.0024,0,33,0,0,6,0,0,0.5928
2015,25,"NE","All",61.3,655,NA,42,613,28,0,0,0,0.0077,5,23,0,0,20,0,0,0.4719
2015,25,"NE","Pipiens",3.6,77,NA,41,36,10,0,0,0,0.0381,4,6,0,0,10,0,0,0.1372
2015,25,"NE","Tarsalis",57.7,578,NA,1,577,18,0,0,0,0.0058,1,17,0,0,10,0,0,0.3347
2015,25,"NW","All",22.22,215,NA,15,200,16,0,0,0,0.0187,2,14,0,0,18,0,0,0.4162
2015,25,"NW","Pipiens",0.89,23,NA,15,8,6,0,0,0,0.0985,2,4,0,0,9,0,0,0.0877
2015,25,"NW","Tarsalis",21.33,192,NA,0,192,10,0,0,0,0.0154,0,10,0,0,9,0,0,0.3285
2015,25,"SE","All",70.34,1140,NA,85,1055,39,0,0,0,0.0037,5,34,0,0,30,0,0,0.2628
2015,25,"SE","Pipiens",1.07,100,NA,84,16,10,0,0,0,0.0255,4,6,0,0,15,0,0,0.0273
2015,25,"SE","Tarsalis",69.27,1040,NA,1,1039,29,0,0,0,0.0034,1,28,0,0,15,0,0,0.2355
2015,25,"SW","All",18,168,NA,6,162,14,0,0,0,0.0247,1,13,0,0,18,0,0,0.4443
2015,25,"SW","Pipiens",0.56,11,NA,6,5,5,0,0,0,0.2016,1,4,0,0,9,0,0,0.1129
2015,25,"SW","Tarsalis",17.44,157,NA,0,157,9,0,0,0,0.019,0,9,0,0,9,0,0,0.3314
2015,26,"FC","All",58.51,3305,NA,438,2867,134,2,5e-04,0,0.0021,20,114,1,1,98,0.027,2e-04,0.1232
2015,26,"FC","Pipiens",2.41,532,NA,414,118,48,1,0.0019,1e-04,0.0092,17,31,1,0,49,0.0046,2e-04,0.0222
2015,26,"FC","Tarsalis",56.1,2773,NA,24,2749,86,1,4e-04,0,0.0018,3,83,0,1,49,0.0224,0,0.101
2015,26,"LV","All",100.16,601,NA,0,601,18,0,0,0,0.0096,0,18,0,0,12,0,0,0.9635
2015,26,"LV","Pipiens",2.33,14,NA,0,14,4,0,0,0,0.1742,0,4,0,0,6,0,0,0.4059
2015,26,"LV","Tarsalis",97.83,587,NA,0,587,14,0,0,0,0.0057,0,14,0,0,6,0,0,0.5576
2015,26,"NE","All",79.6,928,NA,132,796,35,1,0.0013,1e-04,0.0066,9,26,0,1,20,0.1009,0.0078,0.5239
2015,26,"NE","Pipiens",2,128,NA,108,20,12,0,0,0,0.0214,6,6,0,0,10,0,0,0.0428
2015,26,"NE","Tarsalis",77.6,800,NA,24,776,23,1,0.0013,1e-04,0.0062,3,20,0,1,10,0.1009,0.0078,0.4811
2015,26,"NW","All",35,339,NA,24,315,21,0,0,0,0.0141,2,19,0,0,18,0,0,0.4938
2015,26,"NW","Pipiens",2.78,49,NA,24,25,8,0,0,0,0.0548,2,6,0,0,9,0,0,0.1523
2015,26,"NW","Tarsalis",32.22,290,NA,0,290,13,0,0,0,0.0106,0,13,0,0,9,0,0,0.3415
2015,26,"SE","All",70.54,1323,NA,265,1058,46,1,2e-04,0,0.0041,7,39,1,0,30,0.0108,7e-04,0.2881
2015,26,"SE","Pipiens",3.47,317,NA,265,52,18,1,0.0031,2e-04,0.0154,7,11,1,0,15,0.0108,7e-04,0.0534
2015,26,"SE","Tarsalis",67.07,1006,NA,0,1006,28,0,0,0,0.0035,0,28,0,0,15,0,0,0.2347
2015,26,"SW","All",10.78,114,NA,17,97,14,0,0,0,0.0374,2,12,0,0,18,0,0,0.4031
2015,26,"SW","Pipiens",0.78,24,NA,17,7,6,0,0,0,0.0963,2,4,0,0,9,0,0,0.0751
2015,26,"SW","Tarsalis",10,90,NA,0,90,8,0,0,0,0.0328,0,8,0,0,9,0,0,0.328
2015,27,"FC","All",57.69,3120,NA,293,2827,129,1,4e-04,0,0.0022,14,115,0,1,98,0.0214,0,0.1257
2015,27,"FC","Pipiens",4.2,498,NA,292,206,45,0,0,0,0.007,13,32,0,0,49,0,0,0.0294
2015,27,"FC","Tarsalis",53.49,2622,NA,1,2621,84,1,4e-04,0,0.0018,1,83,0,1,49,0.0214,0,0.0963
2015,27,"LV","All",206.5,1239,NA,0,1239,32,0,0,0,0.0046,0,32,0,0,12,0,0,0.9516
2015,27,"LV","Pipiens",2.5,15,NA,0,15,4,0,0,0,0.144,0,4,0,0,6,0,0,0.36
2015,27,"LV","Tarsalis",204,1224,NA,0,1224,28,0,0,0,0.0029,0,28,0,0,6,0,0,0.5916
2015,27,"NE","All",57.4,629,NA,55,574,26,1,0.0018,1e-04,0.0119,4,22,0,1,20,0.1012,0.0048,0.6848
2015,27,"NE","Pipiens",9.2,147,NA,55,92,11,0,0,0,0.021,4,7,0,0,10,0,0,0.1932
2015,27,"NE","Tarsalis",48.2,482,NA,0,482,15,1,0.0021,1e-04,0.0102,0,15,0,1,10,0.1012,0.0048,0.4916
2015,27,"NW","All",17.56,165,NA,7,158,17,0,0,0,0.0295,2,15,0,0,18,0,0,0.5186
2015,27,"NW","Pipiens",5.67,58,NA,7,51,10,0,0,0,0.0403,2,8,0,0,9,0,0,0.2285
2015,27,"NW","Tarsalis",11.89,107,NA,0,107,7,0,0,0,0.0244,0,7,0,0,9,0,0,0.2901
2015,27,"SE","All",52.33,993,NA,208,785,41,0,0,0,0.005,7,34,0,0,30,0,0,0.2605
2015,27,"SE","Pipiens",2.53,245,NA,207,38,16,0,0,0,0.0124,6,10,0,0,15,0,0,0.0314
2015,27,"SE","Tarsalis",49.8,748,NA,1,747,25,0,0,0,0.0046,1,24,0,0,15,0,0,0.2291
2015,27,"SW","All",7.89,94,NA,23,71,13,0,0,0,0.0494,1,12,0,0,18,0,0,0.3895
2015,27,"SW","Pipiens",1.11,33,NA,23,10,4,0,0,0,0.062,1,3,0,0,9,0,0,0.0688
2015,27,"SW","Tarsalis",6.78,61,NA,0,61,9,0,0,0,0.0473,0,9,0,0,9,0,0,0.3207
2015,28,"FC","All",102.51,5588,NA,565,5023,182,4,8e-04,3e-04,0.0022,19,163,0,4,98,0.0865,0.0288,0.228
2015,28,"FC","Pipiens",6.37,874,NA,562,312,56,0,0,0,0.0041,16,40,0,0,49,0,0,0.0261
2015,28,"FC","Tarsalis",96.14,4714,NA,3,4711,126,4,9e-04,3e-04,0.0021,3,123,0,4,49,0.0865,0.0288,0.2019
2015,28,"LV","All",232.33,1394,NA,0,1394,35,0,0,0,0.0039,0,35,0,0,12,0,0,0.8993
2015,28,"LV","Pipiens",4,24,NA,0,24,4,0,0,0,0.0764,0,4,0,0,6,0,0,0.3056
2015,28,"LV","Tarsalis",228.33,1370,NA,0,1370,31,0,0,0,0.0026,0,31,0,0,6,0,0,0.5937
2015,28,"NE","All",122.1,1540,NA,319,1221,44,1,8e-04,1e-04,0.0046,8,36,0,1,20,0.1023,0.0114,0.5569
2015,28,"NE","Pipiens",8.4,403,NA,319,84,17,0,0,0,0.0081,8,9,0,0,10,0,0,0.068
2015,28,"NE","Tarsalis",113.7,1137,NA,0,1137,27,1,9e-04,1e-04,0.0043,0,27,0,1,10,0.1023,0.0114,0.4889
2015,28,"NW","All",33.67,376,NA,73,303,23,0,0,0,0.0142,5,18,0,0,18,0,0,0.4794
2015,28,"NW","Pipiens",7.56,139,NA,71,68,9,0,0,0,0.0199,3,6,0,0,9,0,0,0.1504
2015,28,"NW","Tarsalis",26.11,237,NA,2,235,14,0,0,0,0.0126,2,12,0,0,9,0,0,0.329
2015,28,"SE","All",133.26,2145,NA,146,1999,62,3,0.0015,4e-04,0.0048,5,57,0,3,30,0.2012,0.0503,0.6436
2015,28,"SE","Pipiens",7.53,258,NA,145,113,16,0,0,0,0.012,4,12,0,0,15,0,0,0.0904
2015,28,"SE","Tarsalis",125.73,1887,NA,1,1886,46,3,0.0016,4e-04,0.0044,1,45,0,3,15,0.2012,0.0503,0.5532
2015,28,"SW","All",11.78,133,NA,27,106,18,0,0,0,0.039,1,17,0,0,18,0,0,0.4589
2015,28,"SW","Pipiens",2.56,50,NA,27,23,10,0,0,0,0.0503,1,9,0,0,9,0,0,0.1288
2015,28,"SW","Tarsalis",9.22,83,NA,0,83,8,0,0,0,0.0358,0,8,0,0,9,0,0,0.3301
2015,29,"FC","All",98.22,5524,NA,711,4813,177,2,3e-04,0,0.0014,23,154,0,2,98,0.0257,9e-04,0.1367
2015,29,"FC","Pipiens",8.69,1121,NA,695,426,59,1,9e-04,1e-04,0.0044,19,40,0,1,49,0.0078,9e-04,0.0382
2015,29,"FC","Tarsalis",89.53,4403,NA,16,4387,118,1,2e-04,0,0.0011,4,114,0,1,49,0.0179,0,0.0985
2015,29,"LV","All",186.5,1119,NA,0,1119,29,1,9e-04,1e-04,0.0064,0,29,0,1,12,0.1634,0.0181,1.1868
2015,29,"LV","Pipiens",5,30,NA,0,30,3,0,0,0,0.074,0,3,0,0,6,0,0,0.37
2015,29,"LV","Tarsalis",181.5,1089,NA,0,1089,26,1,9e-04,1e-04,0.0045,0,26,0,1,6,0.1634,0.0181,0.8168
2015,29,"NE","All",101.3,1385,NA,372,1013,42,0,0,0,0.0041,10,32,0,0,20,0,0,0.4163
2015,29,"NE","Pipiens",9.5,458,NA,363,95,19,0,0,0,0.0071,9,10,0,0,10,0,0,0.0675
2015,29,"NE","Tarsalis",91.8,927,NA,9,918,23,0,0,0,0.0038,1,22,0,0,10,0,0,0.3488
2015,29,"NW","All",57.33,546,NA,30,516,24,1,0.0016,1e-04,0.015,2,22,0,1,18,0.0927,0.0057,0.8624
2015,29,"NW","Pipiens",11.44,133,NA,30,103,10,1,0.0081,5e-04,0.0437,2,8,0,1,9,0.0927,0.0057,0.4999
2015,29,"NW","Tarsalis",45.89,413,NA,0,413,14,0,0,0,0.0079,0,14,0,0,9,0,0,0.3625
2015,29,"SE","All",118.13,2045,NA,273,1772,63,0,0,0,0.0027,10,53,0,0,30,0,0,0.3164
2015,29,"SE","Pipiens",9.93,415,NA,266,149,20,0,0,0,0.0079,7,13,0,0,15,0,0,0.0784
2015,29,"SE","Tarsalis",108.2,1630,NA,7,1623,43,0,0,0,0.0022,3,40,0,0,15,0,0,0.238
2015,29,"SW","All",43.66,429,NA,36,393,19,0,0,0,0.0118,1,18,0,0,18,0,0,0.5159
2015,29,"SW","Pipiens",5.44,85,NA,36,49,7,0,0,0,0.0302,1,6,0,0,9,0,0,0.1643
2015,29,"SW","Tarsalis",38.22,344,NA,0,344,12,0,0,0,0.0092,0,12,0,0,9,0,0,0.3516
2015,30,"FC","All",134.69,7275,NA,675,6600,213,12,0.0016,7e-04,0.0031,23,190,2,10,98,0.2142,0.0943,0.4229
2015,30,"FC","Pipiens",10.16,1159,NA,661,498,63,3,0.0027,7e-04,0.0073,18,45,2,1,49,0.0274,0.0071,0.0742
2015,30,"FC","Tarsalis",124.53,6116,NA,14,6102,150,9,0.0015,7e-04,0.0028,5,145,0,9,49,0.1868,0.0872,0.3487
2015,30,"LV","All",219.67,1318,NA,0,1318,33,4,0.0032,0.0011,0.0095,0,33,0,4,12,0.6949,0.2389,2.0847
2015,30,"LV","Pipiens",2.5,15,NA,0,15,4,0,0,0,0.1563,0,4,0,0,6,0,0,0.3908
2015,30,"LV","Tarsalis",217.17,1303,NA,0,1303,29,4,0.0032,0.0011,0.0078,0,29,0,4,6,0.6949,0.2389,1.6939
2015,30,"NE","All",191,2115,NA,205,1910,58,1,6e-04,0,0.0032,9,49,0,1,20,0.1068,0,0.608
2015,30,"NE","Pipiens",13,329,NA,199,130,17,0,0,0,0.0098,7,10,0,0,10,0,0,0.1274
2015,30,"NE","Tarsalis",178,1786,NA,6,1780,41,1,6e-04,0,0.0027,2,39,0,1,10,0.1068,0,0.4806
2015,30,"NW","All",87.23,854,NA,69,785,30,1,0.0013,1e-04,0.0084,3,27,0,1,18,0.1133,0.0076,0.7314
2015,30,"NW","Pipiens",11.67,173,NA,68,105,11,0,0,0,0.0167,2,9,0,0,9,0,0,0.1949
2015,30,"NW","Tarsalis",75.56,681,NA,1,680,19,1,0.0015,1e-04,0.0071,1,18,0,1,9,0.1133,0.0076,0.5365
2015,30,"SE","All",148.13,2579,NA,357,2222,73,6,0.0019,5e-04,0.0052,10,63,2,4,30,0.281,0.0747,0.7697
2015,30,"SE","Pipiens",14,560,NA,350,210,23,3,0.0057,0.0015,0.0157,8,15,2,1,15,0.0798,0.021,0.2198
2015,30,"SE","Tarsalis",134.13,2019,NA,7,2012,50,3,0.0015,4e-04,0.0041,2,48,0,3,15,0.2012,0.0537,0.5499
2015,30,"SW","All",40.55,409,NA,44,365,19,0,0,0,0.0119,1,18,0,0,18,0,0,0.4843
2015,30,"SW","Pipiens",4.22,82,NA,44,38,8,0,0,0,0.0304,1,7,0,0,9,0,0,0.1283
2015,30,"SW","Tarsalis",36.33,327,NA,0,327,11,0,0,0,0.0098,0,11,0,0,9,0,0,0.356
2015,31,"FC","All",77.58,4499,NA,698,3801,164,16,0.0036,0.0019,0.0067,24,140,3,13,98,0.2823,0.1455,0.5211
2015,31,"FC","Pipiens",9.8,1172,NA,692,480,65,5,0.0046,0.0017,0.0103,19,46,3,2,49,0.0451,0.0167,0.1009
2015,31,"FC","Tarsalis",67.78,3327,NA,6,3321,99,11,0.0035,0.0019,0.0062,5,94,0,11,49,0.2372,0.1288,0.4202
2015,31,"LV","All",85.67,514,NA,0,514,17,3,0.0063,0.0017,0.0221,0,17,0,3,12,0.5406,0.1497,1.8943
2015,31,"LV","Pipiens",2.5,15,NA,0,15,5,0,0,0,0.1689,0,5,0,0,6,0,0,0.4222
2015,31,"LV","Tarsalis",83.17,499,NA,0,499,12,3,0.0065,0.0018,0.0177,0,12,0,3,6,0.5406,0.1497,1.4721
2015,31,"NE","All",155.1,1981,NA,430,1551,56,6,0.0043,0.0018,0.0096,13,43,0,6,20,0.6662,0.2776,1.4825
2015,31,"NE","Pipiens",16.3,591,NA,428,163,21,0,0,0,0.0058,11,10,0,0,10,0,0,0.0945
2015,31,"NE","Tarsalis",138.8,1390,NA,2,1388,35,6,0.0048,0.002,0.01,2,33,0,6,10,0.6662,0.2776,1.388
2015,31,"NW","All",56.55,633,NA,124,509,29,3,0.0034,9e-04,0.0167,5,24,2,1,18,0.1901,0.0486,0.9462
2015,31,"NW","Pipiens",10.33,216,NA,123,93,13,3,0.0184,0.0047,0.0567,4,9,2,1,9,0.1901,0.0486,0.5857
2015,31,"NW","Tarsalis",46.22,417,NA,1,416,16,0,0,0,0.0078,1,15,0,0,9,0,0,0.3605
2015,31,"SE","All",58.8,975,NA,93,882,41,3,0.003,5e-04,0.011,4,37,0,3,30,0.1749,0.0275,0.6445
2015,31,"SE","Pipiens",9.47,233,NA,91,142,17,1,0.0044,3e-04,0.0217,3,14,0,1,15,0.0417,0.0028,0.2055
2015,31,"SE","Tarsalis",49.33,742,NA,2,740,24,2,0.0027,5e-04,0.0089,1,23,0,2,15,0.1332,0.0247,0.439
2015,31,"SW","All",38.33,396,NA,51,345,21,1,0.0019,1e-04,0.0196,2,19,1,0,18,0.0714,0.0037,0.7522
2015,31,"SW","Pipiens",7.44,117,NA,50,67,9,1,0.0096,5e-04,0.0546,1,8,1,0,9,0.0714,0.0037,0.4062
