"csu_id","trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total","test_code","cq","copies","seq","notes"
"CSU23161","FC-029","SE","FC",2024-09-12,2024,37,"Tarsalis","Tarsalis","L","culex",1,0,37.31,1.4,NA,NA
"CSU23163","FC-068","SW","FC",2024-09-12,2024,37,"Tarsalis","Tarsalis","L","culex",1,0,36.38,2.7,NA,NA
"CSU23164","FC-068","SW","FC",2024-09-12,2024,37,"Pipiens","Pipiens","L","culex",1,0,38.29,0.7,NA,NA
"CSU23165","FC-093","SW","FC",2024-09-12,2024,37,"Tarsalis","Tarsalis","L","culex",1,0,55.55,0,NA,NA
"CSU23157","FC-049","NW","FC",2024-09-11,2024,37,"Tarsalis","Tarsalis","L","culex",1,0,37.49,1.23,NA,NA
"CSU23145","FC-052","NW","FC",2024-09-11,2024,37,"Tarsalis","Tarsalis","L","culex",1,0,39.59,0.28,NA,NA
"CSU23150","FC-060","SW","FC",2024-09-11,2024,37,"Pipiens","Pipiens","L","culex",1,0,39.63,0.27,NA,NA
"CSU23152","FC-063","NW","FC",2024-09-11,2024,37,"Pipiens","Pipiens","L","culex",1,0,34.89,7.75,NA,NA
"CSU23147","FC-073","NW","FC",2024-09-11,2024,37,"Tarsalis","Tarsalis","L","culex",1,0,36.1,3.28,NA,NA
"CSU23132","FC-004","SE","FC",2024-09-10,2024,37,"Pipiens","Pipiens","L","culex",1,0,36.16,3.16,NA,NA
"CSU23139","FC-023","SE","FC",2024-09-10,2024,37,"Pipiens","Pipiens","L","culex",1,0,38.47,0.61,NA,NA
"CSU23143","FC-050","SE","FC",2024-09-10,2024,37,"Tarsalis","Tarsalis","L","culex",1,0,55.55,0,NA,NA
"CSU23128","FC-064","SE","FC",2024-09-10,2024,37,"Pipiens","Pipiens","L","culex",1,0,37.44,1.27,NA,NA
"CSU23109","FC-040","NE","FC",2024-09-09,2024,37,"Tarsalis","Tarsalis","L","culex",1,0,37.77,1.01,NA,NA
"CSU23107","FC-069","NE","FC",2024-09-09,2024,37,"Tarsalis","Tarsalis","L","culex",1,0,34.63,9.33,NA,NA
"CSU23069","FC-029","SE","FC",2024-09-05,2024,36,"Pipiens","Pipiens","L","culex",1,0,38.32,0.74,NA,NA
"CSU23076","FC-037","SW","FC",2024-09-05,2024,36,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU23078","FC-039","SE","FC",2024-09-05,2024,36,"Tarsalis","Tarsalis","L","culex",1,0,38.16,0.83,NA,NA
"CSU23077","FC-057","SW","FC",2024-09-05,2024,36,"Pipiens","Pipiens","L","culex",1,0,37.32,1.48,NA,NA
"CSU23093","FC-059","SE","FC",2024-09-05,2024,36,"Tarsalis","Tarsalis","L","culex",1,0,55.55,0,NA,NA
"CSU23074","FC-062","SW","FC",2024-09-05,2024,36,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU23070","FC-068","SW","FC",2024-09-05,2024,36,"Tarsalis","Tarsalis","L","culex",1,0,36.61,2.44,NA,NA
"CSU23072","FC-071","SW","FC",2024-09-05,2024,36,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU23037","FC-049","NW","FC",2024-09-04,2024,36,"Tarsalis","Tarsalis","L","culex",1,0,38.06,0.89,NA,NA
"CSU23025","FC-052","NW","FC",2024-09-04,2024,36,"Tarsalis","Tarsalis","L","culex",1,0,55.55,0,NA,NA
"CSU23026","FC-052","NW","FC",2024-09-04,2024,36,"Pipiens","Pipiens","L","culex",1,0,36.08,3.52,NA,NA
"CSU23031","FC-060","SW","FC",2024-09-04,2024,36,"Tarsalis","Tarsalis","L","culex",1,0,55.55,0,NA,NA
"CSU23027","FC-061","NW","FC",2024-09-04,2024,36,"Tarsalis","Tarsalis","L","culex",1,0,37.51,1.3,NA,NA
"CSU23029","FC-073","NW","FC",2024-09-04,2024,36,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU23033","FC-090GR","NW","FC",2024-09-04,2024,36,"Tarsalis","Tarsalis","G","culex",1,0,39.38,0.35,NA,NA
"CSU23024","FC-057","SW","FC",2024-08-29,2024,35,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU23014","FC-068","SW","FC",2024-08-29,2024,35,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU22976","FC-052","NW","FC",2024-08-28,2024,35,"Tarsalis","Tarsalis","L","culex",1,0,55.55,0,NA,NA
"CSU23003","FC-058","SW","FC",2024-08-28,2024,35,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU22998","FC-063GR","NW","FC",2024-08-28,2024,35,"Tarsalis","Tarsalis","G","culex",1,0,55.55,0,NA,NA
"CSU22989","LC-053","BE","BE",2024-08-28,2024,35,"Pipiens","Pipiens","L","culex",1,0,39.91,0.4,NA,NA
"CDC206","LC-058","BE","BE",2024-08-28,2024,35,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CDC208","LC-061","BE","BE",2024-08-28,2024,35,"Tarsalis","Tarsalis","L","culex",1,0,55.55,0,NA,NA
"CDC210","LC-062","BE","BE",2024-08-28,2024,35,"Pipiens","Pipiens","L","culex",1,0,38.84,0.42,NA,NA
"CSU22991","WC-055","BE","BE",2024-08-28,2024,35,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU22953","FC-053","SE","FC",2024-08-27,2024,35,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU22932","FC-006","NE","FC",2024-08-26,2024,35,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU22923","FC-069","NE","FC",2024-08-26,2024,35,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU22916","LV-069","LV","LV",2024-08-26,2024,35,"Tarsalis","Tarsalis","L","culex",1,0,55.55,0,NA,NA
"CSU22917","LV-069","LV","LV",2024-08-26,2024,35,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU21918","FC-093","SW","FC",2024-06-20,2024,25,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21902","FC-052","NW","FC",2024-06-19,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
