"trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total"
"FC-001","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",14
"FC-001","SW","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",3
"FC-001","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"FC-001","SW","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",14
"FC-001","SW","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",3
"FC-001","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"FC-004","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",20
"FC-004","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",5
"FC-004","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"FC-004","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",20
"FC-004","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",5
"FC-004","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"FC-023","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"FC-023","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"FC-023","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",23
"FC-023","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"FC-023","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"FC-023","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"FC-023","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",23
"FC-023","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",1
"FC-027","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",41
"FC-027","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",18
"FC-027","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"FC-027","SE","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",41
"FC-027","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",18
"FC-027","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",2
"FC-029","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",2
"FC-029","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",6
"FC-029","SE","FC",2025-09-04,2025,36,"non culex","Aedes vexans","L","culex",1
"FC-029","SE","FC",2025-09-04,2025,36,"non culex","Aedes dorsalis","L","culex",2
"FC-029","SE","FC",2025-09-04,2025,36,"Tarsalis","Culex tarsalis","L","culex",6
