"","trap_id","method","zone.x","active","lat","long","start"
"1","BC-01","L","BC",0,NA,NA,2022
"2","BC-02","L","BC",0,39.9910086,-105.183264,2022
"3","BC-03","L","BC",0,40.0528558,-105.2660644,2022
"4","BC-04","L","BC",0,40.061639,-105.193958,2021
"5","BC-07","L","BC",0,NA,NA,2024
"6","BC-08","L","BC",0,40.130625,-105.216736,2023
"7","BC-09","L","BC",0,40.013015,-105.27145,2021
"8","BC-10","L","BC",0,NA,NA,2024
"9","BC-11","L","BC",0,40.11,-105.130278,2022
"10","BC-12","L","BC",0,NA,NA,2022
"11","BC-13","L","BC",0,39.9928123458041,-105.220028825984,2022
"12","BC-14","L","BC",0,39.9875,-105.2209,2024
"13","BC-15","L","BC",0,40.013015,-105.27145,2021
"14","BC-16","L","BC",0,NA,NA,2022
"15","BC-17","L","BC",0,40.101806,-105.156028,2021
"16","BC-18","L","BC",0,40.013015,-105.27145,2021
"17","BC-19","L","BC",0,NA,NA,2021
"18","BC-22","L","BC",0,39.959444,-105.232292,2023
"19","BC-25","L","BC",0,NA,NA,2023
"20","BC-26","L","BC",0,40.0391,-105.1868,2023
"21","BC-27","L","BC",0,NA,NA,2023
"22","BC-28","L","BC",0,40.0075,-105.216,2024
"23","BE-001","L","BE",1,40.3368193503161,-105.086588978433,2024
"24","BE-002","L","BE",1,40.3082833440777,-105.096877737266,2024
"25","BE-003","L","BE",1,40.3439275587247,-105.116275062668,2024
"26","BE-004","L","BE",1,40.2931156813208,-105.084634487766,2024
"27","BE-005","L","BE",1,40.3031962632436,-105.069380814781,2024
"28","LC-001","L","BE",1,40.302587,-105.084057,2013
"29","LC-049","L","BE",1,40.312995,-105.078728,2013
"30","LC-053","L","BE",1,40.320553,-105.094569,2017
"31","LC-054","L","BE",1,40.343955,-105.102766,2013
"32","LC-055","L","BE",0,40.288886,-104.99146,2019
"33","WC-055","L","BE",1,40.28918345,-104.9915449,2020
"34","LV-020","L","LV",1,40.373964,-105.11349,2013
"35","LV-069","L","LV",1,40.428924,-105.058221,2013
"36","LV-074","L","LV",0,40.404013,-105.071,2016
"37","LV-074GR","G","LV",0,40.403596,-105.071575,2016
"38","LV-078","L","LV",0,40.416234,-105.045084,2016
"39","LV-079GR","G","LV",0,40.416617,-105.045174,2016
"40","LV-087","L","LV",0,40.367049,-105.073709,2014
"41","LV-089","L","LV",1,40.400251,-105.042395,2013
"42","LV-095","L","LV",1,40.444118,-105.022166,2013
"43","LV-099","L","LV",0,40.421062,-105.106836,NA
"44","LV-100","L","LV",0,40.404163,-105.088585,NA
"45","LV-101","L","LV",0,40.396389,-105.073908,NA
"46","LV-102","L","LV",0,40.434477,-105.104496,NA
